c/n,f/f,operator,type,St
1053,10.09.09,Comlux Aviation,330-243CJ,
1054,13.10.10,Hong Kong AL,330-223,C
1055,10.09.09,Asiana AL lsd,330-323E,C
1057,24.09.09,Air Mauritius,330-202,
1058,08.10.09,Aeroflot lsd,330-343E,
1059,11.10.10,Hong Kong AL lsd,330-223,C
1060,19.10.09,Thai AW Int,330-343E,C
1061,03.11.09,Qantas lsd,330-202,C
1063,23.10.09,Oman Air,330-343E,C
1065,06.11.09,Aeroflot lsd,330-343E,
1066,21.10.09,AirAsia X,330-343E,C
1067,26.10.09,Finnair lsd,330-302E,C
1069,06.11.09,US AW lsd,330-243,
1071,02.12.09,Etihad AW,330-343E,STD
1072,19.11.09,Aeroflot lsd,330-343E,
1073,18.11.09,Avianca slsd,330-243,STD
1074,06.11.09,Thai AW Int,330-343E,C
1075,10.11.09,AirAsia X,330-343E,C
1076,18.11.09,US AW lsd,330-243,
1077,08.12.09,Aeroflot lsd,330-343E,
1078,23.11.09,Finnair,330-302E,STD
1080,10.12.09,MTAD,330-243,
1081,10.12.09,Etihad AL,330-343E,STD
1082,12.01.10,Sichuan AL lsd,330-243,
1084,21.12.09,Swiss Int'l AL,330-343E,C
1085,17.12.09,Singapore AL lsd,330-343E,
1086,18.01.10,Thai AW Int,330-343E,C
1087,03.02.10,Air China,330-343E,C
1088,17.02.10,Finnair,330-302E,C
1089,03.02.10,Swiss Int'l AL,330-343E,C
1090,09.02.10,Thai AW Int,330-343E,C
1093,24.02.10,Oman Air,330-343E,C
1094,01.02.10,Qantas lsd,330-202,C
1095,09.02.10,US AW,330-243,
1096,25.02.10,China Southern AL,330-223,C
1097,19.02.10,Iberworld lsd,330-343E,
1098,19.02.10,Singapore AL lsd,330-343E,
1099,11.02.10,Singapore AL lsd,330-343E,
1100,01.03.10,US AW,330-243,
1101,24.02.10,Swiss Int'l AL,330-343E,C
1103,09.03.09,Aeroflot lsd,330-343E,
1104,26.03.10,Hawaiian AL lsd,330-243,C
1105,11.03.10,Singapore AL lsd,330-343E,
1106,11.03.10,Aer Lingus,330-302E,
1107,30.03.10,Singapore AL lsd,330-343E,
1108,01.04.10,Saudi Arabian AL,330-343E,C
1110,07.04.10,Air China,330-343E,C
1112,25.03.10,TAM,330-223,
1114,27.04.10,Hawaiian AL,330-243,C
1116,21.04.10,China Southern AL,330-223,C
1118,13.04.10,TAM lsd,330-223,
1120,21.05.10,Oman Air,330-243,C
1123,06.05.10,Alitalia lsd,330-202,
1124,06.05.10,Singapore AL lsd,330-343,
1126,07.05.10,AirAsia X,330-343E,C
1127,11.05.10,Saudi Arabian AL,330-343E,C
1129,02.06.10,China Southern AL,330-223,C
1130,02.06.10,Air China,330-343E,C
1131,27.05.10,AirAsia X,330-343E,C
1132,07.06.10,Singapore AL lsd,330-343,
1133,30.06.10,Korean Air,330-223,C
1135,01.07.10,Alitalia lsd,330-202,
1137,23.06.10,Saudi Arabian AL,330-343E,C
1138,01.07.10,Sichuan AL lsd,330-243,C
1141,08.07.10,Saudi Arabian AL,330-343E,C
1143,27.07.10,Egyptair,330-343E,C
1145,27.07.10,Swiss Int'l AL,330-343E,C
1146,20.08.10,Singapore AL lsd,330-343E,
1147,26.08.10,Saudi Arabian AL,330-343E,C
1149,24.08.10,Singapore AL lsd,330-343E,
1150,02.09.10,THY Turkish AL,330-343E,C
1151,31.08.10,Asiana AL lsd,330-323E,C
1153,07.10.10,Saudi Arabian AL,330-343E,C
1155,09.09.10,Korean Air,330-223,C
1156,16.09.10,Singapore AL lsd,330-343E,
1157,20.09.10,Singapore AL lsd,330-343E,
1159,29.09.10,Hainan AL lsd,330-243,C
1160,27.09.10,THY Turkish AL,330-343E,C
1161,17.09.10,KLM,330-203,
1163,24.09.10,Cathay Pacific AW,330-342E,C
1165,28.09.10,AirAsia X,330-343E,
1167,29.10.10,Etihad AW,330-343E,STD
1168,26.10.10,Hainan AL lsd,330-343E,C
1169,11.10.10,Qantas lsd,330-202,C
1170,08.11.10,THY Turkish AL,330-343E,C
1171,25.10.10,Hawaiian AL lsd,330-243,C
1172,16.11.10,THY Turkish AL,330-343E,C
1173,10.11.10,Finnair,330-302E,C
1174,19.11.10,Qantas lsd,330-202,C
1177,03.11.10,China AL lsd,330-302,C
1178,24.11.10,Hainan AL lsd,330-343,C
1181,08.11.10,Swiss Int'l AL,330-343E,C
1183,22.11.10,MTAD,330-203MRTT,
1184,26.11.10,Garuda Indonesian AW lsd,330-243,C
1186,15.12.10,MTAD,330-243,
1187,21.12.10,Air China,330-343E,C
1188,07.12.10,Swiss Int'l AL,330-343E,C
1189,10.12.10,Saudi Arabian AL,330-343E,C
1190,23.12.10,Hainan AL lsd,330-343E,C
1191,17.01.11,South African AW,330-243,
1192,04.01.11,Saudi Arabian AL,330-343E,C
1193,18.01.11,Edelweiss Air lsd,330-343E,
1195,12.01.11,Virgin Atlantic AW,330-343E,C
1196,28.01.11,Cathay Pacific,330-343E,C
1198,03.02.11,Jetstar AW slsd,330-202,
1199,02.02.11,Air China,330-343E,C
1200,25.01.11,Korean Air,330-223,C
1201,20.01.11,Virgin Atlantic AW lsd,330-343E,C
1202,02.02.11,China Southern AL,330-223,C
1203,07.02.11,Korean Air,330-223,C
1204,21.01.11,THY Turkish AL,330-343E,C
1205,06.05.11,Etihad AW,330-343E,STD
1206,18.02.11,China AL lsd,330-343E,
1208,14.02.11,Avianca lsd,330-243,
1209,23.02.11,Malaysian AS,330-323E,C
1210,02.03.11,South African AW lsd,330-243,
1211,25.02.11,Asiana lsd,330-323E,C
1212,04.03.11,THY Turkish AL,330-343E,C
1213,10.03.11,TAM,330-223,
1214,18.03.11,Garuda Indonesian AW lsd,330-243,C
1215,17.03.11,China AL slsd,330-343E,
1216,14.03.11,Air China,330-343E,C
1217,23.03.11,Hawaiian AL,330-243,C
1218,29.03.11,Alitalia lsd,330-202,STD
1219,29.03.11,Malaysian AS,330-323E,C
1220,04.04.11,China Southern AL,330-223,C
1221,18.04.11,TAM,330-223,
1222,19.04.11,Cathay Pacific,330-343E,C
1223,01.04.11,South African AW lsd,330-243,
1224,27.04.11,Avianca lsd,330-243,
1225,18.04.11,Alitalia lsd,330-202,STD
1226,30.05.11,Etihad AW,330-343E,STD
1228,12.04.11,THY Turkish AL,330-343E,C
1229,26.05.11,Malaysian AS,330-323E,C
1230,31.05.11,Egyptair,330-343E,C
1231,06.05.11,Virgin Atlantic AW lsd,330-343,
1232,26.05.11,Aeroflot,330-343E,
1233,13.05.11,China Southern AL,330-223,C
1234,23.05.11,Malaysian AS,330-323E,C
1235,24.05.11,MTAD,330-202MRTT,
1236,08.06.11,South African AW lsd,330-243,
1237,20.06.11,Air China,330-243,C
1238,31.08.11,Egyptair,330-343E,C
1239,08.06.11,Cathay Pacific AW,330-343E,C
1240,11.07.11,Turkish Government,330-243,C
1241,30.06.11,Sichuan AL lsd,330-243,C
1243,20.07.11,Malaysian AS,330-323E,C
1244,29.07.11,China Southern AL,330-223,C
1245,28.07.11,Etihad AW,330-343E,STD
1246,08.09.11,Egyptair,330-343E,C
1247,22.07.11,Aeroflot,330-343E,
1248,11.08.11,MTAD,330-243,
1249,22.07.11,South African AW lsd,330-243,
1250,12.08.11,MTAD,330-243,
1251,05.09.11,Jetstar AW lsd,330-202,
1252,31.08.11,Alitalia lsd,330-202,
1254,22.09.11,EVA Air lsd,330-302,C
1255,29.08.11,Hainan AL lsd,330-343E,C
1256,13.09.11,Vietnam AL lsd,330-223,
1258,20.10.11,Jetstar AW slsd,330-202,
1259,02.09.11,Hawaiian AL,330-243,C
1260,21.09.11,Air China lsd,330-243,C
1261,10.10.11,Garuda Indonesian AW lsd,330-243,
1262,19.10.11,China Eastern AL,330-243,C
1263,13.10.11,Thai AW Int,330-343E,C
1264,28.09.11,Aeroflot lsd,330-343E,
1265,20.10.11,Air Caraibes,330-323E,
1266,07.10.11,Vietnam AL lsd,330-223,
1267,08.11.11,China Eastern AL,330-243,C
1268,27.10.11,EVA Air lsd,330-302,C
1269,03.11.11,Thai AW Int,330-343E,C
1270,17.11.11,Aeroflot,330-343E,
1271,16.11.11,South African AW lsd,330-243,
1272,25.11.11,China AL lsd,330-302,C
1274,03.11.11,EVA Air lsd,330-302,C
1275,18.11.11,MTAD,330-243,
1276,05.12.11,Swiss Int'l AL,330-343E,C
1277,21.12.11,Hong Kong AL,330-243,
1278,20.12.11,China AL lsd,330-302,C
1279,06.12.11,Avianca lsd,330-243,
1280,19.12.11,China Eastern AL,330-243,C
1281,05.12.11,Malaysian AS,330-323E,C
1282,19.12.11,Air China,330-243,C
1283,13.12.11,Alitalia lsd,330-202,
1284,11.01.12,Aeroflot,330-343E,
1285,27.01.12,Cathay Pacific AW,330-343E,C
1286,26.01.12,Hong Kong AL,330-243,
1287,02.02.12,KLM lsd,330-303,C
1288,02.02.12,Garuda Indonesian AW lsd,330-243,C
1289,03.02.12,Thai AW Int,330-343E,
1290,01.02.12,Swiss Int'l AL,330-343E,C
1291,24.01.12,China Eastern AL,330-243,
1292,09.02.12,Lufthansa,330-343E,C
1293,28.02.12,Virgin Australia AL lsd,330-243,
1294,20.02.12,KLM lsd,330-303,C
1295,24.02.12,Hawaiian AL,330-243,C
1296,09.03.12,Virgin Atlantic AW,330-343E,C
1297,17.02.12,China Southern AL,330-223,C
1298,28.02.12,THY Turkish AL,330-343E,C
1299,06.03.12,Aeroflot,330-343E,
1300,27.03.12,KLM lsd,330-303,C
1301,22.03.12,Aeroflot,330-343E,
1302,06.04.12,Hawaiian AL,330-243,C
1303,29.03.12,China Eastern AL,330-243,
1304,04.04.12,Air China,330-243,C
1305,11.04.12,Lufthansa,330-343E,C
1306,22.03.12,Virgin Australia AL lsd,330-243,
1307,06.04.12,THY Turkish AL,330-343E,C
1308,11.04.12,Alitalia lsd,330-202,
1309,11.04.12,China Southern AL,330-223,C
1310,18.04.12,Hawaiian AL lsd,330-243,C
1311,16.04.12,THY Turkish AL,330-343E,C
1312,07.05.12,MTAD,330-243MRTT,
1313,24.04.12,Alitalia lsd,330-202,STD
1314,04.05.12,Lufthansa,330-343E,C
1315,09.05.12,Virgin Atlantic AW lsd,330-343E,C
1316,30.05.12,Hawaiian AL lsd,330-243,C
1317,16.05.12,Cathay Pacific AL lsd,330-343E,C
1318,10.05.12,Malaysian AS,330-323E,C
1319,18.05.12,Virgin Australia AL lsd,330-243,STD
1321,06.06.12,Hong Kong Jet,330-202,
1322,14.06.12,Hong Kong AL,330-243,
1323,12.06.12,Aeroflot,330-343E,
1324,05.06.12,China Eastern AL,330-243,C
1325,11.06.12,Hainan AL lsd,330-343E,C
1326,11.06.12,Asiana AL lsd,330-323E,C
1327,22.06.12,Alitalia lsd,330-202,
1328,22.06.12,Aeroflot,330-343E,
1329,26.07.12,Virgin Atlantic AW,330-343E,C
1330,27.06.12,Air China,330-243,C
1331,02.07.12,China Eastern AL,330-243,C
1333,17.07.12,Air China,330-343E,C
1334,04.07.12,MTAD,330-243MRTT,
1335,26.07.12,China Southern AL,330-223,C
1336,10.07.12,Malaysian AS,330-323E,C
1337,16.08.12,Malaysian AS,330-323E,C
1338,19.07.12,Thai AW Int,330-343E,C
1339,30.08.12,Iraqi AW,330-202,C
1340,24.07.12,Asiana AL lsd,330-323E,C
1341,19.09.12,Virgin Atlantic AW,330-343E,C
1342,31.08.12,Avianca lsd,330-243,C
1343,20.08.12,Cathay Pacific AW,330-343E,C
1345,10.07.12,Aeroflot,330-343E,
1346,20.09.12,China AL lsd,330-302,C
1347,06.08.12,Malaysian AS,330-323E,C
1348,31.08.12,Thai AW Int,330-343E,
1349,29.08.12,Cathay Pacific AW,330-343E,C
1351,21.09.12,Jet AW lsd,330-302,
1352,26.09.12,Virgin Atlantic AW,330-343E,C
1353,06.10.12,Air China,330-343E,C
1354,04.10.12,Alitalia lsd,330-202,
1355,11.10.12,Swiss Int'l AL,330-343E,
1356,08.10.12,Aeroflot,330-343E,
1357,05.11.12,Transasia AW,330-343E,
1358,10.10.12,Hong Kong AL,330-343E,C
1359,24.10.12,Corsair lsd,330-343E,C
1360,25.10.12,XL AW France lsd,330-303,
1361,09.11.12,Jet AW lsd,330-302,
1362,06.11.12,Cathay Pacific AW,330-343E,C
1363,25.10.12,MTAD,330-243,
1364,15.11.12,Garuda Indonesian AW,330-243,
1365,26.10.12,Qantas lsd,330-202,C
1366,16.11.12,Cathay Pacific AW,330-343E,C
1367,22.11.12,China AL lsd,330-302,C
1369,09.11.12,Hong Kong AL,330-343E,
1370,07.12.12,Jet AW lsd,330-302,
1371,29.11.12,Aeroflot,330-343E,
1372,24.11.12,China Eastern AL,330-243,C
1373,04.12.12,Air China,330-343E,C
1374,22.11.12,Thai AW Int,330-343E,STD
1375,13.12.12,China Eastern AL,330-243,C
1376,14.12.12,Corsair lsd,330-343E,C
1377,11.01.13,Iberia,330-302,C
1378,08.01.13,Transasia AW,330-343E,
1379,03.01.13,MTAD,330-202MRTT,C
1381,17.01.13,KLM,330-303,C
1382,30.01.13,Singapore AL lsd,330-343E,
1383,19.12.12,Air China,330-343E,C
1384,15.01.13,Hong Kong AL,330-343E,C
1385,29.01.13,Iberia,330-302,C
1387,17.01.13,Cathay Pacific AW,330-343E,C
1388,30.01.13,Malaysian AS,330-323E,C
1389,18.01.13,Hawaiian AL lsd,330-243,C
1390,14.01.13,MTAD,330-243MRTT,
1391,13.02.13,Jet AW lsd,330-302,
1392,30.01.13,China Southern AL,330-323E,C
1393,11.02.13,Korean Air,330-223,C
1394,19.02.13,Air Pacific,330-243,
1395,19.02.13,Malaysian AS,330-323E,C
1396,21.02.13,Air China,330-243,C
1397,12.03.13,Sichuan AL lsd,330-343E,C
1398,08.03.13,Hong Kong AL,330-343E,C
1399,22.03.13,Hawaiian AL,330-243,C
1400,08.03.13,Avianca lsd,330-243,
1401,12.03.13,Singapore AL lsd,330-343E,
1402,28.02.13,China Eastern AL,330-243,
1403,01.03.13,Swiss Int'l AL,330-343E,C
1404,22.03.13,Hawaiian AL lsd,330-243,C
1405,02.04.13,Iberia,330-302,C
1407,21.03.13,Virgin Australia AL lsd,330-243,
1408,14.03.13,Thai AW Int,330-343E,
1409,10.04.13,Cathay Pacific AW,330-343E,C
1410,05.04.13,Garuda Indonesian AW,330-243,C
1411,28.03.13,AirAsia X,330-343E,C
1412,23.04.13,Libyan AL,330-202,C
1413,23.04.13,Air China,330-343E,C
1415,25.04.13,US AW,330-243,
1416,23.04.13,Air Pacific,330-243,
1417,16.04.13,US AW,330-243,
1419,29.04.13,MTAD,330-243,
1420,15.05.13,Cebu Pacific AL lsd,330-343E,
1421,13.05.13,China Eastern AL,330-243,
1422,03.06.13,Hawaiian AL,330-243,C
1423,16.05.13,AirAsia X,330-343E,C
1424,30.05.13,Libyan AL,330-202,W/O
1425,28.05.13,China Southern AL,330-323E,C
1426,17.06.13,Iberia,330-302,C
1427,05.06.13,Singapore AL lsd,330-343E,
1429,06.06.13,China Eastern AL,330-243,
1430,05.06.13,China Southern AL,330-323E,C
1431,27.05.13,Malaysian AS,330-323E,C
1432,02.07.13,Sichuan AL lsd,330-343E,C
1433,17.06.13,AirAsia X,330-343E,
1434,19.06.13,Air China,330-243,C
1435,24.06.13,Asiana AL lsd,330-323E,C
1436,27.06.13,Cathay Pacific AW,330-343E,C
1437,03.10.13,Iberia,330-302,C
1438,02.07.13,Hainan AL lsd,330-343E,C
1439,28.06.13,MTAD,330-243MRTT,
1440,12.07.13,China Eastern AL,330-243,
1441,18.07.13,US AW,330-243,
1443,24.07.13,Cathay Pacific AW,330-343E,C
1444,23.07.13,Air China,330-243,C
1445,30.07.13,Cebu Pacific AL lsd,330-343E,
1446,28.08.13,Garuda Indonesian AW,330-343E,C
1447,16.07.13,Singapore AL lsd,330-343E,
1449,29.08.13,Philippine AL,330-343E,C
1450,10.09.13,China AL lsd,330-302,C
1451,23.08.13,Air Namibia lsd,330-243,
1452,22.08.13,Virgin Australia AL lsd,330-243,
1453,04.09.13,Singapore AL lsd,330-343E,
1454,26.09.13,Saudi Arabian AL,330-343E,C
1455,13.08.13,US AW,330-243,
1456,02.09.13,Philippine AL,330-343E,C
1457,27.09.13,Dragonair lsd,330-343E,
1458,21.10.13,THY Turkish AL,330-303,C
1459,27.09.13,Air China,330-243,C
1460,19.09.13,Philippine AL,330-343E,C
1461,13.09.13,China Eastern AL,330-243,C
1462,10.10.13,Saudi Arabian AL,330-343E,C
1463,01.10.13,Philippine AL,330-343E,C
1464,22.10.13,Asiana AL lsd,330-323E,C
1465,09.10.13,Fiji AW,330-243,C
1466,14.10.13,Air Namibia lsd,330-243,
1467,03.10.13,Philippine AL,330-343E,
1468,21.11.13,China Eastern AL,330-243,C
1469,22.10.13,Hawaiian AL,330-243,C
1470,30.10.13,Malaysian AS,330-323E,C
1471,31.10.13,Air China lsd,330-243,C
1472,21.11.13,Afriqiyah AW,330-202,STD
1473,24.10.13,Saudi Arabian AL,330-343E,C
1474,28.11.13,Garuda Indonesian AW,330-243,C
1475,15.11.13,Philippine AL,330-343E,
1476,07.11.13,THY Turkish AL,330-303,C
1477,21.11.13,Singapore AL lsd,330-343E,
1478,08.11.13,MTAD,330-202MRTT,
1479,18.11.13,China Eastern AL,330-243,C
1480,26.11.13,American AL,330-243,STD
1481,13.11.13,AirAsia X,330-343E,STD
1482,22.11.13,Philippine AL,330-343E,
1483,16.12.13,Skymark AL lsd,330-343E,
1484,20.12.13,China Eastern AL,330-243,C
1485,07.01.14,Singapore AL lsd,330-343E,
1486,19.12.13,Etihad AW,330-243,
1487,13.12.13,THY Turkish AL,330-303,C
1488,08.01.14,Hawaiian AL,330-243,C
1489,10.01.14,Malaysian AS,330-323E,C
1490,06.12.13,Iberia,330-302,C
1491,22.01.14,Skymark AL lsd,330-343E,
1492,14.04.14,Avianca lsd,330-243,
1493,28.01.14,Air China,330-343E,C
1494,19.12.13,China Southern AL,330-323E,C
1495,30.01.14,Cebu Pacific AL lsd,330-343E,
1496,15.01.14,Hawaiian AL,330-243,C
1497,12.02.14,Lufthansa,330-343E,C
1498,29.01.14,MTAD,330-243MRTT,
1499,08.04.14,Afriqiyah AW,330-302,
1500,27.01.14,China Eastern AL,330-243,C
1501,12.02.14,THY Turkish AL,330-303,C
1502,31.01.14,American AL,330-243,STD
1503,25.02.14,Cathay Pacific AW,330-343E,
1504,11.02.14,Philippine AL,330-343E,C
1505,08.04.14,Libyan AL,330-202,C
1507,21.02.14,Iberia,330-302,C
1508,14.03.14,Avianca slsd,330-243,
1509,19.02.13,Air China,330-343E,C
1510,27.03.14,Philippine AL lsd,330-343E,STD
1511,04.03.14,Hawaiian AL,330-243,C
1512,10.03.14,American AL,330-243,STD
1513,06.03.14,Saudi Arabian AL,330-343E,C
1514,11.03.14,THY Turkish AL,330-303,C
1515,20.03.14,Iberia,330-302,C
1516,20.03.14,MTAD,330-202MRTT,
1517,03.04.14,Singapore AL lsd,330-343E,
1518,28.03.14,Asiana AL lsd,330-323E,C
1519,14.03.14,China Southern AL,330-323E,C
1520,31.03.14,China Eastern AL,330-243,C
1521,23.04.14,Etihad AW,330-243,
1522,29.04.14,THY Turkish AL,330-303,STD
1523,19.05.14,Cathay Pacific AW,330-343E,
1525,09.04.14,Air China,330-343E,C
1526,25.04.14,American AL,330-243,STD
1527,18.04.14,Cebu Pacific AL lsd,330-343E,C
1528,05.05.14,Sichuan AL lsd,330-343E,C
1529,10.06.14,THY Turkish AL,330-303,C
1530,26.05.14,Hawaiian AL,330-243,C
1531,05.05.14,Philippine AL lsd,330-343E,
1532,16.05.14,Hainan AL lsd,330-343E,C
1533,06.05.14,AirAsia X,330-343E,
1535,25.06.14,Afriqiyah AW,330-302E,
1536,10.06.14,China Southern AL,330-323E,C
1537,30.05.14,China Eastern AL,330-243,C
1538,02.06.14,Air China,330-343E,C
1539,16.05.14,China AL lsd,330-302,C
1540,02.06.14,Avianca lsd,330-243,
1541,20.05.14,Air China,330-343E,C
1542,06.06.14,Skymark AL lsd,330-343E,
1543,12.06.14,Libyan AL,330-202,C
1544,08.07.14,Singapore AL lsd,330-343E,
1545,25.06.14,Cathay Pacific AW,330-343E,
1546,12.06.14,Philippine AL,330-343E,C
1547,13.06.14,China Eastern AL,330-243,C
1548,23.06.14,Garuda Indonesian AW,330-343E,C
1549,23.07.14,AirAsia X,330-343E,
1551,10.07.14,China Eastern AL,330-343E,C
1552,17.07.14,Cebu Pacific AL lsd,330-343E,C
1553,01.08.14,Philippine AL,330-343E,C
1554,17.07.14,Skymark AL lsd,330-343E,
1555,17.07.14,MTAD,330-243MRTT,
1556,10.09.14,Korean Air,330-323E,C
1557,12.08.14,Cathay Pacific AW,330-343E,
1558,09.09.14,Hainan AL lsd,330-243,C
1559,22.07.14,Philippine AL,330-343E,
1560,04.09.14,Garuda Indonesian AW lsd,330-343E,C
1561,26.08.14,Virgin Australia AL lsd,330-243,
1562,07.08.14,Singapore AL lsd,330-343E,
1563,27.08.14,Air China,330-343E,C
1564,04.09.14,SriLankan AL lsd,330-343E,C
1565,03.09.14,Hawaiian AL,330-243,C
1566,01.10.14,Philippine AL,330-343E,C
1567,16.09.14,Cathay Pacific AW,330-343E,
1568,15.10.14,Philippine AL lsd,330-343E,C
1569,02.10.14,China Eastern AL,330-243,C
1570,18.09.14,Air China,330-343E,C
1571,28.10.14,THY Turkish AL,330-303,C
1572,28.10.14,Oman Air,330-343E,C
1573,26.09.14,Hainan AL lsd,330-243,C
1574,02.10.14,Skymark AL lsd,330-343E,
1575,14.10.14,China Southern AL,330-323E,C
1576,31.10.14,Korean Air,330-323E,C
1577,24.10.14,Garuda Indonesian AW lsd,330-343E,C
1579,21.10.14,Sichuan AL lsd,330-343E,C
1580,15.10.14,KLM lsd,330-303,C
1581,31.10.14,AirAsia X,330-343E,C
1582,20.11.14,Oman Air,330-343E,C
1583,03.11.14,SriLankan AL lsd,330-343E,C
1585,20.11.14,Garuda Indonesian AW lsd,330-343E,C
1586,06.11.14,Synergy Aerospace,330-243,
1587,21.11.14,Air China,330-343E,W/O
1588,02.12.14,China Eastern AL,330-243,C
1589,09.12.14,AirAsia X,330-343E,C
1590,04.12.14,Korean Air,330-323E,C
1591,26.11.14,Hainan AL lsd,330-243,C
1592,09.12.14,IAP,330-343E,
1593,08.01.15,China Southern AL,330-323E,C
1595,12.12.14,China Eastern AL,330-343E,C
1596,09.01.15,AirAsia X,330-343E,
1597,08.01.15,Singapore AL lsd,330-343E,
1598,30.01.15,Cathay Pacific AW,330-343E,
1599,22.01.15,Oman Air,330-343E,C
1600,14.01.15,AirAsia X,330-343E,
1601,20.01.15,MTAD,330-243,
1602,12.02.15,Cebu Pacific AL lsd,330-343E,C
1603,21.01.15,China Eastern AL,330-243,C
1604,28.01.15,SriLankan AL,330-343E,
1605,06.02.15,Aerolineas Argentinas,330-202,C
1606,12.01.15,Hawaiian AL lsd,330-243,C
1607,24.02.15,CIT LC,330-343E,
1608,23.10.15,Synergy Aerospace,330-243,
1609,12.03.15,Singapore AL lsd,330-343E,
1610,27.04.15,MTAD,330-243,
1611,16.02.15,Korean Air,330-323E,C
1612,15.04.15,AirAsia X,330-343E,C
1613,11.03.15,Air Algerie,330-202,C
1614,13.02.15,Hainan AL lsd,330-343E,
1615,17.04.15,Hawaiian AL,330-243,C
1616,16.03.15,THY Turkish AL,330-303,C
1617,30.04.15,China Eastern AL,330-243,C
1618,18.04.15,Cathay Pacific AW,330-343E,C
1619,20.05.15,Thai AirAsia X,330-343E,C
1620,27.03.15,THY THY Turkish AL,330-303,C
1621,27.02.15,Cathay Pacific AW,330-343E,
1622,02.04.15,THY Turkish AL,330-303,C
1623,08.04.15,Aerolineas Argentinas,330-202,C
1624,11.03.15,CIT LC,330-343E,
1625,23.03.15,China Southern AL,330-323E,C
1626,21.05.15,Kuwait AW,330-243,C
1627,24.04.15,Delta AL,330-302,C
1628,12.01.15,Delta AL,330-302,C
1629,22.04.15,THY Turkish AL,330-303,C
1630,10.04.15,Air Algerie,330-202,C
1631,24.03.15,Tunis Air,330-243,C
1632,05.06.15,China Eastern AL,330-343E,C
1633,21.05.15,Singapore AL,330-343E,
1634,09.04.15,Hainan AL,330-343E,C
1635,12.11.15,IAP,330-343E,
1636,22.05.15,China Southern AL,330-323E,C
1637,05.06.15,Delta AL,330-302,C
1638,10.06.15,Korean Air,330-323E,C
1639,26.05.15,China Eastern AL,330-243,C
1640,18.06.15,THY Turkish AL,330-303,C
1641,13.05.15,Tunis Air,330-243,C
1642,29.06.15,THY Turkish AL,330-303,C
1643,17.06.15,Kuwait AW,330-243,C
1644,16.06.15,THY Turkish AL,330-303,C
1645,29.06.15,China Southern AL,330-323E,C
1646,22.06.15,BOC,330-343E,
1647,20.08.15,Korean Air,330-323E,C
1648,28.07.15,Singapore AL,330-343E,
1649,03.06.15,Air Algerie,330-202,C
1650,21.07.15,SriLankan AL,330-343E,C
1651,16.12.15,Intrepid Aviation,330-343E,
1653,23.07.15,Kuwait AW,330-243,C
1654,24.06.15,Garuda Indonesia,330-343E,C
1655,01.09.15,China Eastern AL,330-243,C
1656,17.07.15,Hainan AL,330-343E,C
1657,03.07.15,Synergy Aerospace,330-243,
1658,04.09.15,Air China,330-343E,C
1659,26.11.15,AirAsia X,330-343E,
1660,26.08.15,SAS,330-343E,C
1662,25.08.15,Sichuan AL lsd,330-243,C
1663,15.07.15,Hainan AL,330-343E,C
1664,13.08.15,China Eastern AL,330-243,C
1665,10.09.15,SAS,330-343E,C
1666,19.09.15,Singapore AL,330-343E,
1667,10.09.15,MTAD,330-243,
1668,12.10.15,Hong Kong AL,330-343E,C
1669,07.10.15,SriLankan AL,330-343E,C
1670,16.11.15,AirAsia X,330-343E,
1671,02.09.15,Garuda Indonesia,330-343E,C
1672,15.09.15,Hawaiian AL,330-243,C
1673,09.10.15,Air China,330-343E,C
1674,05.11.15,BOC,330-343E,
1675,09.10.15,Lion Air,330-343E,C
1676,19.10.15,Alpha Star Aviation Svcs,330-243CJ,
1677,09.10.15,Hainan AL,330-343E,C
1678,24.09.15,Kuwait AW,330-243,C
1679,01.10.15,Delta AL,330-302,C
1680,27.10.15,Lion Air,330-343E,C
1681,13.11.15,Kuwait AW,330-243,C
1684,09.11.15,EVA AW,330-302,C
1685,21.10.15,Air China,330-343E,C
1686,20.10.15,Hainan AL,330-343E,C
1687,18.11.15,SriLankan AL,330-343E,C
1689,10.12.15,SriLankan AL,330-343E,C
1690,09.12.15,EVA AW,330-302,C
1691,27.11.15,Evelop AL,330-343E,
1692,18.12.15,Fiji AW lsd,330-343E,C
1693,28.11.15,Lion Air,330-343E,C
1694,14.12.15,Iberia,330-202,
1695,14.12.15,Air China,330-343E,C
1696,22.01.16,THY Turkish AL,330-303,C
1697,07.01.16,SAS,330-343X,C
1698,22.01.16,Garuda Indonesia,330-343E,C
1699,23.12.15,China Southern AL,330-323E,C
1700,15.01.16,Iberia,330-202,C
1701,15.01.16,Delta AL,330-302,C
1703,14.01.16,Hong Kong AL/Hainan AL,330-343E,C
1704,10.02.16,THY Turkish AL,330-303,C
1706,10.03.16,THY Turkish AL,330-303,C
1709,01.01.16,Garuda Indonesia,330-343E,C
1710,10.03.16,Iberia,330-202,
1711,03.02.16,Edelweiss AL,330-343E,
1712,17.03.16,Cebu Pacific AL,330-343E,STD
1713,23.03.16,THY Turkish AL,330-303,C
1714,08.03.16,China Southern AL,330-323E,C
1715,19.02.16,SAS,330-343X,C
1716,12.04.16,Delta AL,330-302,C
1718,18.05.16,THY Turkish AL,330-303,C
1719,12.04.16,Iberia,330-202,C
1720,11.05.16,Delta AL,330-302,C
1721,07.06.16,Delta AL,330-302,C
1723,05.04.16,Garuda Indonesia,330-343E,C
