c/n,f/f,operator,type,St
225.0,09.10.18,Cathay Pacific,350-1041,C
226.0,17.07.18,LATAM AL (ntu),350-941,
227.0,17.07.18,Iberia,350-941,C
228.0,11.07.18,Philippine AL,350-941,
229.0,06.03.19,Qatar AW,350-1041,C
230.0,01.08.18,Singapore AL,350-941,C
231.0,29.06.18,Air China lsd,350-941,C
232.0,10.10.18,Singapore AL,350-941,C
233.0,25.10.18,Cathay Pacific,350-1041,C
234.0,20.02.19,Asiana AL,350-941,C
235.0,24.07.18,Hong Kong AL,350-941,STD
236.0,31.07.18,Philippine AL,350-941,
237.0,01.04.19,Qatar AW,350-941,C
238.0,05.11.18,Singapore AL,350-941,C
239.0,09.08.18,China AL,350-941,C
240.0,05.09.18,Air China,350-941,C
241.0,23.04.19,Qatar AW,350-1041,C
243.0,11.09.18,Philippine AL,350-941,
244.0,22.11.18,Singapore AL,350-941,C
245.0,03.10.18,LATAM AL (ntu),350-941,
246.0,08.10.18,Hainan AL,350-941,STD
247.0,22.10.18,Air China,350-941,C
248.0,30.10.18,China Eastern AL,350-941,C
249.0,20.05.19,Qatar AW,350-941,C
250.0,28.09.18,LATAM AL,350-941,
251.0,12.10.18,Hong Kong AL,350-941,
252.0,29.10.18,Cathay Pacific,350-1041,C
254.0,27.11.18,Singapore AL,350-941,C
255.0,08.10.18,Lufthansa,350-941,C
256.0,17.10.18,Hong Kong AL,350-941,
257.0,27.06.19,Qatar AW,350-941,C
258.0,27.11.18,Cathay Pacific,350-1041,C
259.0,09.11.18,Ethiopian AL,350-941,C
260.0,29.11.18,Hong Kong AL,350-941,
261.0,28.11.18,China Eastern AL,350-941,C
262.0,09.01.19,Cathay Pacific,350-1041,C
263.0,14.11.18,Singapore AL,350-941,C
264.0,19.11.18,Finnair,350-941,C
265.0,04.02.19,Qatar AW,350-941,
266.0,13.06.19,Qatar AW,350-1041,C
267.0,14.12.18,Delta AL,350-941,C
268.0,07.12.18,Air China,350-941,C
269.0,19.12.18,China Eastern AL,350-941,C
270.0,29.11.18,ITA AW,350-941,C
271.0,04.01.19,Iberia,350-941,C
272.0,06.02.19,China Eastern AL,350-941,C
273.0,17.01.19,Finnair,350-941,C
274.0,25.06.19,Virgin Atlantic AW,350-1041,C
276.0,11.01.19,Singapore AL,350-941,C
277.0,08.01.19,Delta AL,350-941,C
278.0,29.01.19,Singapore AL,350-941,C
279.0,28.01.19,Vietnam AL,350-941,C
280.0,07.01.19,Philippine AL,350-941,
281.0,06.03.19,Sichuan AL,350-941,C
282.0,04.06.19,Qatar AW lsd,350-941,
283.0,19.04.22,ITA AW,350-941,C
284.0,12.12.18,Air China,350-941,C
285.0,21.02.19,Adhan Aircraft Leasing,350-941,
286.0,15.02.19,Cathay Pacific,350-1041,C
287.0,11.02.19,Lufthansa,350-941,C
289.0,13.03.19,Ethiopian AL,350-941,C
290.0,04.04.19,Etihad AW,350-1041,C
291.0,21.03.19,China Eastern AL,350-941,C
292.0,31.01.19,Lufthansa,350-941,C
293.0,04.03.19,Evelop,350-941,C
294.0,25.03.19,Singapore AL,350-941,C
295.0,16.04.19,Air China,350-941,C
296.0,12.03.19,Cathay Pacific,350-1041,C
297.0,26.02.19,Vietnam AL,350-941,C
