c/n,f/f,operator,type,St
125.0,18.06.13,Thai AW,380-841,STD
126.0,24.01.13,Korean AL,380-861,C
127.0,23.04.13,Emirates AL,380-861,C
128.0,20.03.13,Korean AL,380-861,C
130.0,12.02.14,Korean AL,380-861,C
131.0,24.04.13,Thai AW,380-841,STD
132.0,22.02.13,Emirates AL,380-861,C
133.0,10.04.13,Emirates AL,380-861,C
134.0,13.05.13,Emirates AL,380-861,C
135.0,22.05.13,Emirates AL,380-861,C
136.0,03.06.13,Emirates AL,380-861,C
137.0,06.09.13,Qatar AW,380-861,C
138.0,24.06.13,Emirates AL,380-861,C
139.0,05.07.13,Emirates AL,380-861,C
140.0,15.07.13,Emirates AL,380-861,C
141.0,08.10.13,Emirates AL,380-861,C
142.0,06.11.13,Emirates AL,380-861,C
143.0,08.11.13,Qatar AW,380-861,C
144.0,01.08.13,British AW,380-841,C
145.0,11.02.14,Qatar AW,380-861,C
146.0,14.10.13,Lufthansa,380-841,STD
147.0,05.11.13,Emirates AL,380-861,C
148.0,09.10.13,British AW,380-841,C
149.0,02.12.13,Lufthansa,380-841,STD
150.0,10.12.13,Emirates AL,380-861,C
151.0,13.01.14,British AW,380-841,C
152.0,13.12.13,Asiana AL,380-841,C
153.0,24.01.14,Emirates AL,380-861,C
154.0,18.02.14,Emirates AL,380-861,C
155.0,25.02.14,Asiana AL,380-841,C
156.0,05.03.14,Korean AL,380-861,C
157.0,12.03.14,Emirates AL lsd,380-861,C
158.0,24.03.14,Emirates AL,380-861,C
159.0,14.04.14,Emirates AL,380-861,C
160.0,14.05.14,Qatar AW,380-861,C
161.0,24.04.14,British AW,380-841,C
162.0,02.04.14,Emirates AL,380-842*,C
163.0,19.05.14,British AW,380-841,C
164.0,05.06.14,Emirates AL lsd,380-861,C
165.0,24.06.14,Emirates AL,380-861,C
166.0,16.06.14,Etihad AW,380-861,STD
167.0,17.10.17,Emirates AL,380-842*,C
168.0,16.07.14,Emirates AL,380-861,C
169.0,31.07.14,Emirates AL,380-861,C
170.0,17.09.14,Etihad AW,380-861,STD
171.0,27.08.14,Emirates AL,380-861,C
172.0,06.10.14,Emirates AL,380-861,C
173.0,22.09.14,British AW,380-841,C
174.0,07.11.14,Emirates AL,380-861,C
175.0,22.10.14,Lufthansa,380-841,STD
176.0,27.11.14,Etihad AW,380-861,STD
177.0,06.11.14,Lufthansa,380-841,STD
178.0,09.12.14,Emirates AL,380-861,C
179.0,17.12.14,Asiana AL,380-841,C
180.0,28.01.15,Etihad AW,380-861,STD
181.0,22.01.15,Qatar AW,380-861,C
182.0,02.02.15,Emirates AL,380-861,C
183.0,10.02.15,Asiana AL,380-841,C
184.0,18.02.15,Emirates AL,380-861,C
186.0,03.03.15,Emirates AL,380-861,C
187.0,10.03.15,Emirates AL,380-861,C
188.0,19.03.15,Emirates AL,380-861,C
189.0,24.04.15,Qatar AW,380-861,C
190.0,21.04.15,Emirates AL,380-861,C
191.0,20.05.15,Etihad AW,380-861,STD
192.0,12.06.15,British AW,380-841,C
193.0,05.06.16,Qatar AW,380-861,C
194.0,14.09.15,British AW,380-841,C
195.0,12.10.15,Etihad AW,380-861,STD
197.0,06.12.16,Qatar AW,380-861,C
198.0,10.11.15,Etihad AW,380-861,STD
199.0,22.12.15,Etihad AW,380-861,STD
200.0,12.05.15,Emirates AL,380-861,C
201.0,03.06.15,Emirates AL,380-861,C
202.0,25.06.15,Emirates AL,380-861,C
203.0,16.07.15,Emirates AL,380-861,C
204.0,29.07.15,Emirates AL,380-861,C
205.0,11.08.15,Emirates AL,380-861,C
206.0,28.09.15,Emirates AL,380-861,C
207.0,27.10.15,Emirates AL,380-861,C
208.0,23.11.15,Emirates AL,380-861,C
209.0,03.12.15,Emirates AL,380-861,C
210.0,13.01.16,Emirates AL,380-861,C
211.0,22.01.16,Emirates AL,380-861,C
213.0,09.02.16,Emirates AL,380-861,C
214.0,26.02.16,Emirates AL,380-861,C
215.0,15.02.16,British AW,380-841,C
216.0,08.03.16,Emirates AL,380-861,C
217.0,21.03.16,Emirates AL,380-861,C
218.0,06.04.16,Emirates AL,380-861,C
219.0,19.04.16,Emirates AL,380-861,C
220.0,09.05.16,Emirates AL,380-861,C
221.0,24.05.16,Emirates AL,380-861,C
222.0,14.06.16,Emirates AL,380-861,C
223.0,29.06.16,Emirates AL,380-861,C
224.0,19.07.16,Emirates AL,380-861,C
225.0,23.06.16,Emirates AL,380-842,C
226.0,12.07.16,Emirates AL,380-842,C
227.0,26.07.16,Emirates AL,380-842,C
228.0,14.09.16,Emirates AL,380-842,C
229.0,29.09.16,Emirates AL,380-842,C
230.0,17.05.16,Asiana AL,380-841,C
231.0,10.08.16,Asiana AL,380-841,C
232.0,28.10.16,Emirates AL,380-842,C
233.0,25.10.16,Etihad AW,380-861,STD
234.0,09.02.17,Emirates AL,380-842,C
235.0,27.07.17,Qatar AW,380-861,C
236.0,24.01.17,Emirates AL,380-842,C
237.0,04.01.17,Etihad AW,380-861,STD
238.0,27.01.17,Emirates AL,380-842,C
239.0,20.02.17,Emirates AL,380-842,C
240.0,03.05.17,Emirates AL,380-842,C
241.0,08.03.17,Emirates AL,380-842,C
242.0,03.04.17,Emirates AL,380-842,C
243.0,17.03.17,Singapore AL,380-841,C
244.0,08.06.17,Emirates AL,380-842,C
247.0,07.06.17,Singapore AL,380-841,C
248.0,13.03.18,Emirates AL,380-842,C
249.0,24.04.18,Emirates AL,380-842,C
250.0,30.05.18,Emirates AL,380-842,C
251.0,20.09.17,Singapore AL,380-841,C
252.0,11.07.18,Emirates AL,380-842,C
253.0,05.01.18,Singapore AL,380-841,C
254.0,12.12.17,Qatar AW,380-861,C
255.0,13.02.18,Singapore AL,380-841,C
256.0,18.10.18,Emirates AL,380-842,C
257.0,30.07.18,Emirates AL,380-842,C
258.0,04.04.19,Emirates AL,380-842,C
259.0,05.02.19,Emirates AL,380-842,C
260.0,06.06.19,Emirates AL,380-842,C
261.0,24.07.19,Emirates AL,380-842,C
262.0,17.09.18,All Nippon AW,380-841,C
263.0,18.12.18,All Nippon AW,380-841,C
264.0,02.12.19,Emirates AL,380-842,C
266.0,10.10.19,All Nippon AW,380-841,C
267.0,19.02.20,Emirates AL,380-842,C
268.0,01.10.20,Emirates AL,380-842,C
269.0,12.08.20,Emirates AL,380-842,C
270.0,26.11.20,Emirates AL,380-842,C
271.0,11.02.21,Emirates AL,380-842,C
272.0,17.03.21,Emirates AL,380-842,C
