,c/n,f/f_year,operator,type,St
82,238.0,98,TAM Brazil lsd,330,
83,241.0,98,Korean Air,330,C
84,244.0,98,Cathay Pacific,330,
85,247.0,98,TAM Brazil lsd,330,SCR
86,248.0,98,Emirates AL ,330,
87,249.0,98,Swissair,330,
88,250.0,99,Air Transat lsd,330,
89,251.0,99,Emirates AL,330,
90,253.0,99,Swissair lsd,330,
91,254.0,99,Airtours International,330,
92,255.0,99,Swissair lsd,330,
93,256.0,99,Korean Air,330,C
94,258.0,99,Korean Air,330,
95,259.0,99,TAM Brazil,330,
96,261.0,99,Monarch AL,330,
97,262.0,99,Swissair lsd,330,
98,265.0,99,Monarch AL,330,
99,266.0,99,Airtours International,330,
100,267.0,99,Korean Air,330,C
101,269.0,99,Aer Lingus,330,
102,271.0,99,Air Transat lsd,330,
103,272.0,99,Canada 3000 lsd,330,
104,275.0,99,Swissair,330,
105,276.0,99,Gulf Air,330,
106,277.0,99,Air Canada,330,C
107,279.0,99,Air Canada,330,C
108,281.0,99,Gulf Air,330,
109,283.0,99,Emirates AL,330,
110,284.0,99,Air Canada,330,C
111,285.0,99,Corsair,330,C
112,286.0,99,Gulf Air,330,
113,287.0,99,Gulf Air,330,
114,288.0,99,Swissair,330,
115,290.0,99,Sabena lsd,330,
116,291.0,99,Swissair,330,
117,293.0,99,Emirates AL,330,
118,294.0,99,Swissair lsd,330,
119,295.0,99,Emirates AL,330,
120,296.0,99,Sabena lsd,330,
121,299.0,99,Swissair,330,
122,300.0,99,Sabena lsd,330,
123,301.0,99,Airtours International,330,
124,303.0,99,Srilankan AL,330,C
125,305.0,99,Flightlease,330,
126,306.0,99,Srilankan AL,330,C
127,308.0,99,Swissair,330,
128,309.0,99,Airtours International,330,
129,311.0,99,Srilankan AL,330,C
130,312.0,99,Swissair,330,
131,313.0,99,Srilankan AL,330,
132,314.0,99,Emirates AL,330,
133,315.0,00,US AW,330,
134,316.0,00,Emirates AL,330,
135,317.0,99,Austrian AL lsd,330,
136,320.0,00,Corsair,330,SCR
137,322.0,00,Sabena,330,
138,323.0,00,US AW,330,
139,324.0,00,Sabena,330,
140,326.0,00,Emirates AL,330,
141,328.0,00,Emirates AL,330,
142,330.0,00,Aer Lingus lsd,330,
143,333.0,00,US AW lsd,330,
