,c/n,f/f_year,operator,type,St
715,1159.0,10,Hainan AL lsd,330,C
716,1160.0,10,THY Turkish AL,330,C
717,1161.0,10,KLM,330,
718,1163.0,10,Cathay Pacific AW,330,C
719,1165.0,10,AirAsia X,330,
720,1167.0,10,Etihad AW,330,STD
721,1168.0,10,Hainan AL lsd,330,C
722,1169.0,10,Qantas lsd,330,C
723,1170.0,10,THY Turkish AL,330,C
724,1171.0,10,Hawaiian AL lsd,330,C
725,1172.0,10,THY Turkish AL,330,C
726,1173.0,10,Finnair,330,C
727,1174.0,10,Qantas lsd,330,C
728,1177.0,10,China AL lsd,330,C
729,1178.0,10,Hainan AL lsd,330,C
730,1181.0,10,Swiss Int'l AL,330,C
731,1183.0,10,MTAD,330,
732,1184.0,10,Garuda Indonesian AW lsd,330,C
733,1186.0,10,MTAD,330,
734,1187.0,10,Air China,330,C
735,1188.0,10,Swiss Int'l AL,330,C
736,1189.0,10,Saudi Arabian AL,330,C
737,1190.0,10,Hainan AL lsd,330,C
738,1191.0,11,South African AW,330,
739,1192.0,11,Saudi Arabian AL,330,C
740,1193.0,11,Edelweiss Air lsd,330,
741,1195.0,11,Virgin Atlantic AW,330,C
742,1196.0,11,Cathay Pacific,330,C
743,1198.0,11,Jetstar AW slsd,330,
744,1199.0,11,Air China,330,C
745,1200.0,11,Korean Air,330,C
746,1201.0,11,Virgin Atlantic AW lsd,330,C
747,1202.0,11,China Southern AL,330,C
748,1203.0,11,Korean Air,330,C
749,1204.0,11,THY Turkish AL,330,C
750,1205.0,11,Etihad AW,330,STD
751,1206.0,11,China AL lsd,330,
752,1208.0,11,Avianca lsd,330,
753,1209.0,11,Malaysian AS,330,C
754,1210.0,11,South African AW lsd,330,
755,1211.0,11,Asiana lsd,330,C
756,1212.0,11,THY Turkish AL,330,C
757,1213.0,11,TAM,330,
758,1214.0,11,Garuda Indonesian AW lsd,330,C
759,1215.0,11,China AL slsd,330,
760,1216.0,11,Air China,330,C
761,1217.0,11,Hawaiian AL,330,C
762,1218.0,11,Alitalia lsd,330,STD
763,1219.0,11,Malaysian AS,330,C
764,1220.0,11,China Southern AL,330,C
765,1221.0,11,TAM,330,
766,1222.0,11,Cathay Pacific,330,C
767,1223.0,11,South African AW lsd,330,
768,1224.0,11,Avianca lsd,330,
769,1225.0,11,Alitalia lsd,330,STD
770,1226.0,11,Etihad AW,330,STD
771,1228.0,11,THY Turkish AL,330,C
772,1229.0,11,Malaysian AS,330,C
773,1230.0,11,Egyptair,330,C
774,1231.0,11,Virgin Atlantic AW lsd,330,
775,1232.0,11,Aeroflot,330,
776,1233.0,11,China Southern AL,330,C
777,1234.0,11,Malaysian AS,330,C
778,1235.0,11,MTAD,330,
779,1236.0,11,South African AW lsd,330,
780,1237.0,11,Air China,330,C
781,1238.0,11,Egyptair,330,C
782,1239.0,11,Cathay Pacific AW,330,C
783,1240.0,11,Turkish Government,330,C
784,1241.0,11,Sichuan AL lsd,330,C
785,1243.0,11,Malaysian AS,330,C
786,1244.0,11,China Southern AL,330,C
787,1245.0,11,Etihad AW,330,STD
788,1246.0,11,Egyptair,330,C
789,1247.0,11,Aeroflot,330,
790,1248.0,11,MTAD,330,
791,1249.0,11,South African AW lsd,330,
792,1250.0,11,MTAD,330,
793,1251.0,11,Jetstar AW lsd,330,
794,1252.0,11,Alitalia lsd,330,
795,1254.0,11,EVA Air lsd,330,C
796,1255.0,11,Hainan AL lsd,330,C
797,1256.0,11,Vietnam AL lsd,330,
798,1258.0,11,Jetstar AW slsd,330,
799,1259.0,11,Hawaiian AL,330,C
800,1260.0,11,Air China lsd,330,C
801,1261.0,11,Garuda Indonesian AW lsd,330,
802,1262.0,11,China Eastern AL,330,C
803,1263.0,11,Thai AW Int,330,C
804,1264.0,11,Aeroflot lsd,330,
805,1265.0,11,Air Caraibes,330,
806,1266.0,11,Vietnam AL lsd,330,
807,1267.0,11,China Eastern AL,330,C
808,1268.0,11,EVA Air lsd,330,C
809,1269.0,11,Thai AW Int,330,C
810,1270.0,11,Aeroflot,330,
811,1271.0,11,South African AW lsd,330,
812,1272.0,11,China AL lsd,330,C
813,1274.0,11,EVA Air lsd,330,C
814,1275.0,11,MTAD,330,
815,1276.0,11,Swiss Int'l AL,330,C
816,1277.0,11,Hong Kong AL,330,
817,1278.0,11,China AL lsd,330,C
818,1279.0,11,Avianca lsd,330,
819,1280.0,11,China Eastern AL,330,C
820,1281.0,11,Malaysian AS,330,C
821,1282.0,11,Air China,330,C
822,1283.0,11,Alitalia lsd,330,
823,1284.0,12,Aeroflot,330,
824,1285.0,12,Cathay Pacific AW,330,C
825,1286.0,12,Hong Kong AL,330,
826,1287.0,12,KLM lsd,330,C
827,1288.0,12,Garuda Indonesian AW lsd,330,C
828,1289.0,12,Thai AW Int,330,
829,1290.0,12,Swiss Int'l AL,330,C
830,1291.0,12,China Eastern AL,330,
831,1292.0,12,Lufthansa,330,C
832,1293.0,12,Virgin Australia AL lsd,330,
833,1294.0,12,KLM lsd,330,C
834,1295.0,12,Hawaiian AL,330,C
835,1296.0,12,Virgin Atlantic AW,330,C
836,1297.0,12,China Southern AL,330,C
837,1298.0,12,THY Turkish AL,330,C
838,1299.0,12,Aeroflot,330,
839,1300.0,12,KLM lsd,330,C
840,1301.0,12,Aeroflot,330,
841,1302.0,12,Hawaiian AL,330,C
842,1303.0,12,China Eastern AL,330,
843,1304.0,12,Air China,330,C
844,1305.0,12,Lufthansa,330,C
845,1306.0,12,Virgin Australia AL lsd,330,
846,1307.0,12,THY Turkish AL,330,C
847,1308.0,12,Alitalia lsd,330,
848,1309.0,12,China Southern AL,330,C
849,1310.0,12,Hawaiian AL lsd,330,C
850,1311.0,12,THY Turkish AL,330,C
851,1312.0,12,MTAD,330,
852,1313.0,12,Alitalia lsd,330,STD
853,1314.0,12,Lufthansa,330,C
854,1315.0,12,Virgin Atlantic AW lsd,330,C
855,1316.0,12,Hawaiian AL lsd,330,C
856,1317.0,12,Cathay Pacific AL lsd,330,C
857,1318.0,12,Malaysian AS,330,C
858,1319.0,12,Virgin Australia AL lsd,330,STD
859,1321.0,12,Hong Kong Jet,330,
860,1322.0,12,Hong Kong AL,330,
861,1323.0,12,Aeroflot,330,
862,1324.0,12,China Eastern AL,330,C
863,1325.0,12,Hainan AL lsd,330,C
864,1326.0,12,Asiana AL lsd,330,C
865,1327.0,12,Alitalia lsd,330,
866,1328.0,12,Aeroflot,330,
867,1329.0,12,Virgin Atlantic AW,330,C
868,1330.0,12,Air China,330,C
869,1331.0,12,China Eastern AL,330,C
870,1333.0,12,Air China,330,C
871,1334.0,12,MTAD,330,
872,1335.0,12,China Southern AL,330,C
873,1336.0,12,Malaysian AS,330,C
874,1337.0,12,Malaysian AS,330,C
875,1338.0,12,Thai AW Int,330,C
876,1339.0,12,Iraqi AW,330,C
877,1340.0,12,Asiana AL lsd,330,C
878,1341.0,12,Virgin Atlantic AW,330,C
879,1342.0,12,Avianca lsd,330,C
880,1343.0,12,Cathay Pacific AW,330,C
881,1345.0,12,Aeroflot,330,
882,1346.0,12,China AL lsd,330,C
883,1347.0,12,Malaysian AS,330,C
884,1348.0,12,Thai AW Int,330,
885,1349.0,12,Cathay Pacific AW,330,C
886,1351.0,12,Jet AW lsd,330,
887,1352.0,12,Virgin Atlantic AW,330,C
888,1353.0,12,Air China,330,C
889,1354.0,12,Alitalia lsd,330,
890,1355.0,12,Swiss Int'l AL,330,
891,1356.0,12,Aeroflot,330,
892,1357.0,12,Transasia AW,330,
893,1358.0,12,Hong Kong AL,330,C
894,1359.0,12,Corsair lsd,330,C
895,1360.0,12,XL AW France lsd,330,
896,1361.0,12,Jet AW lsd,330,
897,1362.0,12,Cathay Pacific AW,330,C
898,1363.0,12,MTAD,330,
899,1364.0,12,Garuda Indonesian AW,330,
900,1365.0,12,Qantas lsd,330,C
901,1366.0,12,Cathay Pacific AW,330,C
902,1367.0,12,China AL lsd,330,C
903,1369.0,12,Hong Kong AL,330,
904,1370.0,12,Jet AW lsd,330,
905,1371.0,12,Aeroflot,330,
906,1372.0,12,China Eastern AL,330,C
907,1373.0,12,Air China,330,C
908,1374.0,12,Thai AW Int,330,STD
909,1375.0,12,China Eastern AL,330,C
910,1376.0,12,Corsair lsd,330,C
911,1377.0,13,Iberia,330,C
912,1378.0,13,Transasia AW,330,
913,1379.0,13,MTAD,330,C
914,1381.0,13,KLM,330,C
915,1382.0,13,Singapore AL lsd,330,
916,1383.0,12,Air China,330,C
917,1384.0,13,Hong Kong AL,330,C
918,1385.0,13,Iberia,330,C
919,1387.0,13,Cathay Pacific AW,330,C
920,1388.0,13,Malaysian AS,330,C
921,1389.0,13,Hawaiian AL lsd,330,C
922,1390.0,13,MTAD,330,
923,1391.0,13,Jet AW lsd,330,
924,1392.0,13,China Southern AL,330,C
925,1393.0,13,Korean Air,330,C
926,1394.0,13,Air Pacific,330,
927,1395.0,13,Malaysian AS,330,C
928,1396.0,13,Air China,330,C
929,1397.0,13,Sichuan AL lsd,330,C
930,1398.0,13,Hong Kong AL,330,C
931,1399.0,13,Hawaiian AL,330,C
932,1400.0,13,Avianca lsd,330,
933,1401.0,13,Singapore AL lsd,330,
934,1402.0,13,China Eastern AL,330,
935,1403.0,13,Swiss Int'l AL,330,C
936,1404.0,13,Hawaiian AL lsd,330,C
937,1405.0,13,Iberia,330,C
938,1407.0,13,Virgin Australia AL lsd,330,
939,1408.0,13,Thai AW Int,330,
940,1409.0,13,Cathay Pacific AW,330,C
941,1410.0,13,Garuda Indonesian AW,330,C
942,1411.0,13,AirAsia X,330,C
943,1412.0,13,Libyan AL,330,C
944,1413.0,13,Air China,330,C
945,1415.0,13,US AW,330,
946,1416.0,13,Air Pacific,330,
947,1417.0,13,US AW,330,
948,1419.0,13,MTAD,330,
949,1420.0,13,Cebu Pacific AL lsd,330,
950,1421.0,13,China Eastern AL,330,
951,1422.0,13,Hawaiian AL,330,C
952,1423.0,13,AirAsia X,330,C
953,1424.0,13,Libyan AL,330,W/O
954,1425.0,13,China Southern AL,330,C
955,1426.0,13,Iberia,330,C
956,1427.0,13,Singapore AL lsd,330,
957,1429.0,13,China Eastern AL,330,
958,1430.0,13,China Southern AL,330,C
959,1431.0,13,Malaysian AS,330,C
960,1432.0,13,Sichuan AL lsd,330,C
961,1433.0,13,AirAsia X,330,
962,1434.0,13,Air China,330,C
963,1435.0,13,Asiana AL lsd,330,C
964,1436.0,13,Cathay Pacific AW,330,C
965,1437.0,13,Iberia,330,C
966,1438.0,13,Hainan AL lsd,330,C
967,1439.0,13,MTAD,330,
968,1440.0,13,China Eastern AL,330,
969,1441.0,13,US AW,330,
970,1443.0,13,Cathay Pacific AW,330,C
971,1444.0,13,Air China,330,C
972,1445.0,13,Cebu Pacific AL lsd,330,
973,1446.0,13,Garuda Indonesian AW,330,C
974,1447.0,13,Singapore AL lsd,330,
975,1449.0,13,Philippine AL,330,C
976,1450.0,13,China AL lsd,330,C
977,1451.0,13,Air Namibia lsd,330,
978,1452.0,13,Virgin Australia AL lsd,330,
979,1453.0,13,Singapore AL lsd,330,
980,1454.0,13,Saudi Arabian AL,330,C
981,1455.0,13,US AW,330,
982,1456.0,13,Philippine AL,330,C
983,1457.0,13,Dragonair lsd,330,
984,1458.0,13,THY Turkish AL,330,C
985,1459.0,13,Air China,330,C
986,1460.0,13,Philippine AL,330,C
987,1461.0,13,China Eastern AL,330,C
988,1462.0,13,Saudi Arabian AL,330,C
989,1463.0,13,Philippine AL,330,C
990,1464.0,13,Asiana AL lsd,330,C
991,1465.0,13,Fiji AW,330,C
992,1466.0,13,Air Namibia lsd,330,
993,1467.0,13,Philippine AL,330,
994,1468.0,13,China Eastern AL,330,C
995,1469.0,13,Hawaiian AL,330,C
996,1470.0,13,Malaysian AS,330,C
997,1471.0,13,Air China lsd,330,C
998,1472.0,13,Afriqiyah AW,330,STD
999,1473.0,13,Saudi Arabian AL,330,C
1000,1474.0,13,Garuda Indonesian AW,330,C
1001,1475.0,13,Philippine AL,330,
1002,1476.0,13,THY Turkish AL,330,C
1003,1477.0,13,Singapore AL lsd,330,
1004,1478.0,13,MTAD,330,
1005,1479.0,13,China Eastern AL,330,C
1006,1480.0,13,American AL,330,STD
1007,1481.0,13,AirAsia X,330,STD
1008,1482.0,13,Philippine AL,330,
1009,1483.0,13,Skymark AL lsd,330,
1010,1484.0,13,China Eastern AL,330,C
1011,1485.0,14,Singapore AL lsd,330,
1012,1486.0,13,Etihad AW,330,
1013,1487.0,13,THY Turkish AL,330,C
1014,1488.0,14,Hawaiian AL,330,C
1015,1489.0,14,Malaysian AS,330,C
1016,1490.0,13,Iberia,330,C
1017,1491.0,14,Skymark AL lsd,330,
1018,1492.0,14,Avianca lsd,330,
1019,1493.0,14,Air China,330,C
1020,1494.0,13,China Southern AL,330,C
1021,1495.0,14,Cebu Pacific AL lsd,330,
1022,1496.0,14,Hawaiian AL,330,C
1023,1497.0,14,Lufthansa,330,C
1024,1498.0,14,MTAD,330,
1025,1499.0,14,Afriqiyah AW,330,
1026,1500.0,14,China Eastern AL,330,C
1027,1501.0,14,THY Turkish AL,330,C
1028,1502.0,14,American AL,330,STD
1029,1503.0,14,Cathay Pacific AW,330,
1030,1504.0,14,Philippine AL,330,C
1031,1505.0,14,Libyan AL,330,C
1032,1507.0,14,Iberia,330,C
1033,1508.0,14,Avianca slsd,330,
1034,1509.0,13,Air China,330,C
1035,1510.0,14,Philippine AL lsd,330,STD
1036,1511.0,14,Hawaiian AL,330,C
1037,1512.0,14,American AL,330,STD
1038,1513.0,14,Saudi Arabian AL,330,C
1039,1514.0,14,THY Turkish AL,330,C
1040,1515.0,14,Iberia,330,C
1041,1516.0,14,MTAD,330,
1042,1517.0,14,Singapore AL lsd,330,
1043,1518.0,14,Asiana AL lsd,330,C
1044,1519.0,14,China Southern AL,330,C
1045,1520.0,14,China Eastern AL,330,C
1046,1521.0,14,Etihad AW,330,
1047,1522.0,14,THY Turkish AL,330,STD
1048,1523.0,14,Cathay Pacific AW,330,
1049,1525.0,14,Air China,330,C
1050,1526.0,14,American AL,330,STD
1051,1527.0,14,Cebu Pacific AL lsd,330,C
1052,1528.0,14,Sichuan AL lsd,330,C
1053,1529.0,14,THY Turkish AL,330,C
1054,1530.0,14,Hawaiian AL,330,C
1055,1531.0,14,Philippine AL lsd,330,
1056,1532.0,14,Hainan AL lsd,330,C
1057,1533.0,14,AirAsia X,330,
1058,1535.0,14,Afriqiyah AW,330,
1059,1536.0,14,China Southern AL,330,C
1060,1537.0,14,China Eastern AL,330,C
1061,1538.0,14,Air China,330,C
1062,1539.0,14,China AL lsd,330,C
1063,1540.0,14,Avianca lsd,330,
1064,1541.0,14,Air China,330,C
1065,1542.0,14,Skymark AL lsd,330,
1066,1543.0,14,Libyan AL,330,C
1067,1544.0,14,Singapore AL lsd,330,
1068,1545.0,14,Cathay Pacific AW,330,
1069,1546.0,14,Philippine AL,330,C
1070,1547.0,14,China Eastern AL,330,C
1071,1548.0,14,Garuda Indonesian AW,330,C
1072,1549.0,14,AirAsia X,330,
1073,1551.0,14,China Eastern AL,330,C
1074,1552.0,14,Cebu Pacific AL lsd,330,C
1075,1553.0,14,Philippine AL,330,C
1076,1554.0,14,Skymark AL lsd,330,
1077,1555.0,14,MTAD,330,
1078,1556.0,14,Korean Air,330,C
1079,1557.0,14,Cathay Pacific AW,330,
1080,1558.0,14,Hainan AL lsd,330,C
1081,1559.0,14,Philippine AL,330,
1082,1560.0,14,Garuda Indonesian AW lsd,330,C
1083,1561.0,14,Virgin Australia AL lsd,330,
1084,1562.0,14,Singapore AL lsd,330,
1085,1563.0,14,Air China,330,C
1086,1564.0,14,SriLankan AL lsd,330,C
1087,1565.0,14,Hawaiian AL,330,C
1088,1566.0,14,Philippine AL,330,C
1089,1567.0,14,Cathay Pacific AW,330,
1090,1568.0,14,Philippine AL lsd,330,C
1091,1569.0,14,China Eastern AL,330,C
1092,1570.0,14,Air China,330,C
1093,1571.0,14,THY Turkish AL,330,C
1094,1572.0,14,Oman Air,330,C
1095,1573.0,14,Hainan AL lsd,330,C
1096,1574.0,14,Skymark AL lsd,330,
1097,1575.0,14,China Southern AL,330,C
1098,1576.0,14,Korean Air,330,C
1099,1577.0,14,Garuda Indonesian AW lsd,330,C
1100,1579.0,14,Sichuan AL lsd,330,C
1101,1580.0,14,KLM lsd,330,C
1102,1581.0,14,AirAsia X,330,C
1103,1582.0,14,Oman Air,330,C
1104,1583.0,14,SriLankan AL lsd,330,C
1105,1585.0,14,Garuda Indonesian AW lsd,330,C
1106,1586.0,14,Synergy Aerospace,330,
1107,1587.0,14,Air China,330,W/O
1108,1588.0,14,China Eastern AL,330,C
1109,1589.0,14,AirAsia X,330,C
1110,1590.0,14,Korean Air,330,C
1111,1591.0,14,Hainan AL lsd,330,C
1112,1592.0,14,IAP,330,
1113,1593.0,15,China Southern AL,330,C
1114,1595.0,14,China Eastern AL,330,C
1115,1596.0,15,AirAsia X,330,
1116,1597.0,15,Singapore AL lsd,330,
1117,1598.0,15,Cathay Pacific AW,330,
1118,1599.0,15,Oman Air,330,C
1119,1600.0,15,AirAsia X,330,
1120,1601.0,15,MTAD,330,
1121,1602.0,15,Cebu Pacific AL lsd,330,C
1122,1603.0,15,China Eastern AL,330,C
1123,1604.0,15,SriLankan AL,330,
1124,1605.0,15,Aerolineas Argentinas,330,C
1125,1606.0,15,Hawaiian AL lsd,330,C
1126,1607.0,15,CIT LC,330,
1127,1608.0,15,Synergy Aerospace,330,
1128,1609.0,15,Singapore AL lsd,330,
1129,1610.0,15,MTAD,330,
1130,1611.0,15,Korean Air,330,C
1131,1612.0,15,AirAsia X,330,C
1132,1613.0,15,Air Algerie,330,C
1133,1614.0,15,Hainan AL lsd,330,
1134,1615.0,15,Hawaiian AL,330,C
1135,1616.0,15,THY Turkish AL,330,C
1136,1617.0,15,China Eastern AL,330,C
1137,1618.0,15,Cathay Pacific AW,330,C
1138,1619.0,15,Thai AirAsia X,330,C
1139,1620.0,15,THY THY Turkish AL,330,C
1140,1621.0,15,Cathay Pacific AW,330,
1141,1622.0,15,THY Turkish AL,330,C
1142,1623.0,15,Aerolineas Argentinas,330,C
1143,1624.0,15,CIT LC,330,
1144,1625.0,15,China Southern AL,330,C
1145,1626.0,15,Kuwait AW,330,C
1146,1627.0,15,Delta AL,330,C
1147,1628.0,15,Delta AL,330,C
1148,1629.0,15,THY Turkish AL,330,C
1149,1630.0,15,Air Algerie,330,C
1150,1631.0,15,Tunis Air,330,C
1151,1632.0,15,China Eastern AL,330,C
1152,1633.0,15,Singapore AL,330,
1153,1634.0,15,Hainan AL,330,C
1154,1635.0,15,IAP,330,
1155,1636.0,15,China Southern AL,330,C
1156,1637.0,15,Delta AL,330,C
1157,1638.0,15,Korean Air,330,C
1158,1639.0,15,China Eastern AL,330,C
1159,1640.0,15,THY Turkish AL,330,C
1160,1641.0,15,Tunis Air,330,C
1161,1642.0,15,THY Turkish AL,330,C
1162,1643.0,15,Kuwait AW,330,C
1163,1644.0,15,THY Turkish AL,330,C
1164,1645.0,15,China Southern AL,330,C
1165,1646.0,15,BOC,330,
1166,1647.0,15,Korean Air,330,C
1167,1648.0,15,Singapore AL,330,
1168,1649.0,15,Air Algerie,330,C
1169,1650.0,15,SriLankan AL,330,C
1170,1651.0,15,Intrepid Aviation,330,
1171,1653.0,15,Kuwait AW,330,C
1172,1654.0,15,Garuda Indonesia,330,C
1173,1655.0,15,China Eastern AL,330,C
1174,1656.0,15,Hainan AL,330,C
1175,1657.0,15,Synergy Aerospace,330,
1176,1658.0,15,Air China,330,C
1177,1659.0,15,AirAsia X,330,
1178,1660.0,15,SAS,330,C
1179,1662.0,15,Sichuan AL lsd,330,C
1180,1663.0,15,Hainan AL,330,C
1181,1664.0,15,China Eastern AL,330,C
1182,1665.0,15,SAS,330,C
1183,1666.0,15,Singapore AL,330,
1184,1667.0,15,MTAD,330,
1185,1668.0,15,Hong Kong AL,330,C
1186,1669.0,15,SriLankan AL,330,C
1187,1670.0,15,AirAsia X,330,
1188,1671.0,15,Garuda Indonesia,330,C
1189,1672.0,15,Hawaiian AL,330,C
1190,1673.0,15,Air China,330,C
1191,1674.0,15,BOC,330,
1192,1675.0,15,Lion Air,330,C
1193,1676.0,15,Alpha Star Aviation Svcs,330,
1194,1677.0,15,Hainan AL,330,C
1195,1678.0,15,Kuwait AW,330,C
1196,1679.0,15,Delta AL,330,C
1197,1680.0,15,Lion Air,330,C
1198,1681.0,15,Kuwait AW,330,C
1199,1684.0,15,EVA AW,330,C
1200,1685.0,15,Air China,330,C
1201,1686.0,15,Hainan AL,330,C
1202,1687.0,15,SriLankan AL,330,C
1203,1689.0,15,SriLankan AL,330,C
1204,1690.0,15,EVA AW,330,C
1205,1691.0,15,Evelop AL,330,
1206,1692.0,15,Fiji AW lsd,330,C
1207,1693.0,15,Lion Air,330,C
1208,1694.0,15,Iberia,330,
1209,1695.0,15,Air China,330,C
1210,1696.0,16,THY Turkish AL,330,C
1211,1697.0,16,SAS,330,C
1212,1698.0,16,Garuda Indonesia,330,C
1213,1699.0,15,China Southern AL,330,C
1214,1700.0,16,Iberia,330,C
1215,1701.0,16,Delta AL,330,C
1216,1703.0,16,Hong Kong AL/Hainan AL,330,C
1217,1704.0,16,THY Turkish AL,330,C
1218,1706.0,16,THY Turkish AL,330,C
1219,1709.0,16,Garuda Indonesia,330,C
1220,1710.0,16,Iberia,330,
1221,1711.0,16,Edelweiss AL,330,
1222,1712.0,16,Cebu Pacific AL,330,STD
1223,1713.0,16,THY Turkish AL,330,C
1224,1714.0,16,China Southern AL,330,C
1225,1715.0,16,SAS,330,C
1226,1716.0,16,Delta AL,330,C
1227,1718.0,16,THY Turkish AL,330,C
1228,1719.0,16,Iberia,330,C
1229,1720.0,16,Delta AL,330,C
1230,1721.0,16,Delta AL,330,C
1231,1723.0,16,Garuda Indonesia,330,C
1232,1724.0,16,Saudi Arabian AL,330,C
1233,1725.0,16,MEA,330,C
1234,1726.0,16,Saudi Arabian,330,C
1235,1727.0,16,Air Caraibes/French Blue,330,
1236,1728.0,16,Iberia,330,C
1237,1729.0,16,Saudi Arabian,330,C
1238,1730.0,16,Tibet AL,330,C
1239,1731.0,16,Saudi Arabian,330,C
1240,1732.0,16,Hawaiian AL,330,C
1241,1733.0,16,Garuda Indonesia,330,C
1242,1734.0,16,Saudi Arabian,330,C
1243,1735.0,16,MTAD,330,C
1244,1736.0,16,Iberia,330,C
1245,1737.0,16,Aerolineas Argentinas,330,C
1246,1738.0,16,Saudi Arabian,330,C
1247,1739.0,16,Saudi Arabian,330,C
1248,1740.0,16,Iberia,330,C
1249,1741.0,16,Rwandair,330,C
1250,1742.0,16,Aer Lingus,330,C
1251,1743.0,16,Saudi Arabian,330,C
1252,1744.0,16,Aer Lingus,330,C
1253,1745.0,16,South African AW,330,
1254,1746.0,16,Sichuan AL ,330,C
1255,1747.0,16,Iberia,330,C
1256,1748.0,16,Aerolineas Argentinas,330,C
1257,1749.0,16,Saudi Arabian,330,C
1258,1751.0,16,Saudi Basic Industries Company,330,
1259,1752.0,16,Air China,330,C
1260,1753.0,16,Beijing Capital AL,330,C
1261,1754.0,16,South African AW,330,
1262,1755.0,16,Iberia,330,C
1263,1756.0,16,Tianjin AL,330,C
1264,1757.0,16,South African AW,330,
1265,1758.0,16,Tianjin AL,330,C
1266,1759.0,16,Rwandair,330,C
1267,1760.0,16,China Southern AL,330,C
1268,1761.0,16,Iberia,330,C
1269,1762.0,16,MTAD,330,
1270,1763.0,16,Beijing Capital AL,330,C
1271,1764.0,16,Saudi Arabian AL,330,C
1272,1765.0,16,Air China,330,C
1273,1766.0,16,Saudi Arabian AL,330,C
1274,1767.0,16,EVA AW,330,C
1275,1769.0,17,Delta AL,330,C
1276,1770.0,17,Saudi Arabian AL,330,C
1277,1771.0,17,Tibet AL,330,C
1278,1773.0,17,Tianjin AL,330,C
1279,1774.0,17,Saudi Arabian AL,330,C
1280,1775.0,17,Beijing Capital AL,330,C
1281,1776.0,17,China Southern AL,330,C
1282,1777.0,17,Iberia,330,
1283,1778.0,17,EVA AW,330,C
1284,1779.0,17,South African AW,330,
1285,1780.0,17,Sichuan AL,330,C
1286,1781.0,17,Saudi Arabian AL,330,C
1287,1782.0,17,Beijing Capital AL,330,C
1288,1783.0,17,Delta AL,330,C
1289,1784.0,17,Iberia,330,
1290,1785.0,17,Tibet AL,330,C
1291,1786.0,17,Air China,330,C
1292,1787.0,17,MTAD,330,
1293,1788.0,17,China Eastern AL,330,C
1294,1789.0,17,Cebu Pacific AL,330,C
1295,1790.0,17,Saudi Arabian AL,330,C
1296,1791.0,17,Aer Lingus,330,C
1297,1792.0,17,South African AW,330,STD
1298,1793.0,17,China Southern AL,330,C
1299,1794.0,17,EVA AW,330,C
1300,1796.0,17,China Eastern AL,330,C
1301,1797.0,17,Saudi Arabian AL,330,C
1302,1798.0,17,China Eastern AL,330,C
1303,1799.0,17,MTAD,330,
1304,1800.0,17,Saudi Arabian AL,330,C
1305,1801.0,17,China Eastern AL,330,C
1306,1802.0,17,Air China,330,C
1307,1803.0,17,Saudi Arabian AL,330,C
1308,1804.0,17,China Eastern AL,330,C
1309,1805.0,17,Tianjin AL,330,C
1310,1806.0,17,EVA AW,330,C
1311,1807.0,17,Air China,330,C
1312,1808.0,17,MTAD,330,
1313,1809.0,17,China Eastern AL,330,C
1314,1810.0,17,Shenzhen AL,330,C
1315,1811.0,17,Air China,330,C
1316,1812.0,17,Saudi Arabian AL,330,C
1317,1814.0,17,China Southern AL,330,C
1318,1815.0,17,China Southern AL,330,C
1319,1816.0,17,China Eastern AL,330,C
1320,1817.0,17,Aer Lingus,330,C
1321,1818.0,17,China Southern AL,330,C
1322,1819.0,18,TAP Air Portugal,330,C
1323,1820.0,17,Thai Lion Air,330,
1324,1821.0,17,China Southern AL,330,C
1325,1822.0,17,MTAD,330,
1326,1823.0,17,Hawaiian AL,330,C
1327,1825.0,17,Sichuan AL,330,C
1328,1826.0,17,China Southern AL,330,C
1329,1827.0,17,Hainan AL,330,C
1330,1828.0,17,Thai Lion Air,330,
1331,1829.0,17,Shenzhen AL,330,C
1332,1830.0,17,MTAD,330,
1333,1831.0,17,Hainan AL,330,C
1334,1832.0,17,Thai Lion Air,330,
1335,1834.0,17,Saudi Arabian AL,330,C
1336,1835.0,17,Iberia,330,C
1337,1836.0,18,TAP Air Portugal,330,C
1338,1837.0,17,Hainan AL,330,C
1339,1838.0,17,Lucky Air,330,C
1340,1839.0,17,Shenzhen AL,330,C
1341,1840.0,17,Tianjin AL,330,C
1342,1841.0,17,China Eastern AL,330,C
1343,1842.0,18,China Eastern AL,330,C
1344,1843.0,17,Lucky Air,330,C
1345,1844.0,19,Air Belgium,330,C
1346,1845.0,18,Tibet AL,330,C
1347,1846.0,18,China Southern AL,330,C
1348,1847.0,18,Beijing Capital AL,330,C
1349,1848.0,18,MTAD,330,
1350,1849.0,18,Tianjin AL,330,C
1351,1850.0,18,TAP Air Portugal,330,C
1352,1851.0,18,Lucky Air,330,C
1353,1852.0,18,China Southern AL,330,C
1354,1854.0,18,Iberia,330,C
1355,1855.0,18,Hainan AL,330,C
1356,1856.0,18,Sichuan AL,330,C
1357,1857.0,18,MTAD,330,
1358,1858.0,18,China Southern AL,330,C
1359,1859.0,18,Tibet AL,330,C
1360,1860.0,18,Hainan AL,330,C
1361,1861.0,21,Air Belgium,330,C
1362,1862.0,18,Beijing Capital AL,330,C
1363,1863.0,18,Hong Kong AL,330,STD
1364,1864.0,18,Level,330,
1365,1865.0,18,Hong Kong AL,330,STD
1366,1866.0,18,Lucky Air,330,C
1367,1867.0,18,Shenzhen AL,330,C
