c/n,f/f,operator,type,St
453.0,2020-10-30,Iberia,350,C
454.0,2021-03-30,THY Turkish AL,350,C
455.0,2020-11-13,Air China,350,C
457.0,2021-10-26,THY Turkish AL,350,C
458.0,2020-11-13,Air China,350,C
459.0,2021-01-19,Iberia,350,C
460.0,2021-06-01,Singapore AL,350,C
462.0,2021-06-07,China Southern AL,350,C
463.0,2021-11-15,THY Turkish AL,350,C
464.0,2020-12-21,Singapore AL,350,C
465.0,2021-01-08,Air China,350,C
466.0,2022-01-21,Aeroflot,350,
468.0,2020-11-18,German AF,350,C
469.0,2021-03-05,Singapore AL,350,C
470.0,2021-03-30,China Eastern AL,350,C
471.0,2022-02-15,THY Turkish AL,350,C
472.0,2021-05-20,Singapore AL,350,C
473.0,2021-06-21,British AW,350,C
474.0,2021-02-25,Air China,350,C
475.0,2021-03-02,Singapore AL,350,C
476.0,2020-11-23,Japan AL,350,C
478.0,2021-06-16,China Southern AL,350,C
479.0,2021-02-02,Air France,350,C
480.0,2022-09-20,Starlux AL,350,C
481.0,2021-03-15,Air China,350,C
482.0,2021-05-04,Air Caraibes Atlantique,350,C
483.0,2021-10-22,Iberia,350,C
484.0,2021-02-17,SAS,350,C
485.0,2021-12-09,Singapore AL,350,C
487.0,2021-12-14,Air China,350,C
488.0,2021-02-25,Air France,350,C
489.0,2021-04-22,China Eastern AL,350,C
490.0,2022-01-19,British AW,350,C
491.0,2021-03-19,Air France,350,C
492.0,2021-08-31,Virgin Atlantic AW,350,C
493.0,2022-04-04,THY Turkish AL,350,C
494.0,2022-03-11,Singapore AL,350,C
495.0,2022-01-27,British AW,350,C
496.0,2022-01-14,THY Turkish AL,350,C
497.0,2021-04-09,Japan AL,350,C
499.0,2021-04-29,SAS,350,C
500.0,2021-05-18,Air France,350,C
502.0,2021-05-14,Air France,350,C
503.0,2022-07-25,Cathay Pacific AL,350,C
504.0,2022-02-23,Air China,350,C
505.0,2021-10-21,China Eastern AL,350,C
506.0,2022-02-14,China Southern AL,350,C
507.0,2022-02-22,Virgin Atlantic AW,350,C
509.0,2022-08-26,Cathay Pacific AL,350,C
510.0,2021-07-08,Air France,350,C
512.0,2022-03-30,China Southern AL,350,C
516.0,2021-10-06,Finnair,350,C
517.0,2021-05-12,Air China,350,C
520.0,2021-09-15,Air France,350,C
524.0,2021-09-03,Ethiopian AL,350,C
