c/n;f/f;testreg;regi;operator;d/d;type;St
806;01.12.06;F-WWYN;N814NW;Northwest AL;17.01.07;330-323X;
;;;;Delta AL;29.10.08;;C
807;29.11.06;F-WWYU;VT-JWE;Jet AW lsd;12.01.07;330-243;
;;;;Oman Air slsd;28.04.09;;
;;;;Jet AW ret;19.11.09;;
;;;A6-EYZ;Air Seychelles slsd;07.03.13;;
;;;;Etihad AW ret;26.04.15;;
;;;S7-VDM;Air Seychelles lsd;03.17;;
;;;DQ-FJP;Fiji AW lsd;26.06.18;;STD
808;;;A7-ACL;NOT BUILT;;;
809;11.01.07;F-WWYB;A6-EYL;Etihad AW;31.01.07;330-243;STD
810;05.12.06;F-WWYF;B-6079;Air China;23.01.07;330-243;
;;9H-AJN;EZ-;Turkmenistan AL;due22;;STD
811;20.12.06;F-WWYH;PH-AOH;KLM lsd;02.02.07;330-203;
;;2-PAOH;AP-BMI;Shaheen Air Int lsd;02.03.16;;
;;2-PAOH;LZ-ONE;GullivAir lsd;30.07.20;;C
812;05.03.07;F-WWCX;D-AIHS;Lufthansa;27.03.07;340-642;SCR
813;21.12.06;F-WWYI;A7-AEI;Qatar AW;07.02.07;330-302;C
814;01.02.07;F-WWYJ;EC-JZL;Air Europa lsd;22.02.07;330-203;
;;;;National Air Service lsd;19.11.10;;
;;;;Novair slsd;25.02.11;;
;;;;Air Europa ret;11?;;
;;OE-IOU;;;;;STD
815;12.01.07;F-WWYL;B-6080;Air China;16.02.07;330-243;
;;9H-AJQ;;;;;STD
816;;;;NOT BUILT;;330-203;
817;19.01.07;F-WWYP;N815NW;Northwest AL;22.02.07;330-323X;
;;;;Delta AL;29.10.08;;C
818;06.02.07;F-WWYQ;B-6077;China Southern AL;28.02.07;330-243;
;;OE-IBP;EC-NBN;Wamos Air;23.03.19;;C
819;24.01.07;F-WWYR;PH-AOI;KLM lsd;26.02.07;330-203;
;;2-PAOI;AP-BMJ;Shaheen Air Int lsd;19.04.16;;
;;2-RLAZ;TC-AGD;AtlasGlobal AL;23.04.19;;
;;F-WTAV;AP-BNF;Serene Air lsd;24.03.21;;C
820;31.01.07;F-WWKA;A7-ACL;Qatar AW;14.03.07;330-202;
;;EI-GWW;A7-ACT;Qatar AW lsd;13.08.21;;C
821;21.02.07;F-WWKB;B-6082;China Eastern AL;23.03.07;330-243;C
822;13.02.07;F-WWKJ;EC-KDF;Air Comet lsd;28.03.07;330-223;
;;;4X-ABE;Israir slsd;03.04.08;;
;;;I-EEZM;Eurofly ret;11.03.09;;
;;;;Meridiana Fly;28.02.10;;
;;;EI-EZJ;ILFC Ireland ret;21.01.13;;
;;;D-ABXD;Air Berlin;13.05.13;;
;;EI-GFI;9M-MTV;Malaysian AL lsd;23.03.18;;C
823;19.02.07;F-WWKS;B-18315;China AL;23.03.07;330-302;C
824;14.03.07;F-WWKD;A6-EYM;Etihad AW;03.05.07;330-243;
;;;D-AIYA;Condor;02.06.22;;C
825;28.02.07;F-WWKE;VT-JWF;Jet AW slsd;27.04.07;330-202;
;;;A6-AGA;Etihad AW;08.01.14;;
;;;I-EJGA;Alitalia slsd;01.06.15;;
;;VP-CEU;;;;;STD
826;27.02.07;F-WWKF;A7-AEJ;Qatar AW;22.03.07;330-302;C
827;14.03.07;F-WWKG;N816NW;Northwest AL;04.04.07;330-323X;
;;;;Delta AL;29.10.08;;C
828;13.03.07;F-WWKI;D-ALPI;LTU Int'l AW lsd;20.04.07;330-223;
;;;;Air Berlin tfd;16.04.08;;
;;EI-GFJ;9M-MTW;Malaysian AL lsd;25.06.18;;C
829;04.05.07;F-WWCG;A6-EHE;Etihad AW;29.06.07;340-642;
;;2-EALF;;European Aviation;r26.11.18;;STD
830;19.03.07;F-WWKK;B-6083;China Eastern AL;16.04.07;330-343E;
;;;;Shanghai AL tfd;16.12.19;;C
831;27.04.07;F-WWKL;VT-JWG;Jet AW lsd;30.05.07;330-202;
;;;A6-AGB;Etihad AW;08.01.14;;
;;;I-EJGB;Alitalia slsd;05.06.15;;
;;VP-CEV;;;;;STD
832;26.04.07;F-WWKN;A6-EYN;Etihad AW;18.06.07;330-243;
;;OE-LAL;;Air Belgium lsd;19.08.22;*P2F;C
833;27.03.07;F-WWKO;EC-KCP;Iberworld lsd;16.04.07;330-343E;
;;;;XL AW slsd;01.05.08;;
;;;CS-TRH;XL AW slsd;12.09.10;;
;;;;Orbest Orizonia AL ret;11.04.11;;
;;;;Garuda Indonesian AW lsd;27.08.11;;
;;;;Orbest Orizonia AL ret;12.12.11;;
;;;;XL AW slsd;16.12.11;;
;;;;Orbest Orizonia AL ret;30.04.12;;
;;;;Garuda Indonesian AW lsd;16.09.12;;
;;;;Orbest Orizonia AL ret;18.10.12;;
;;;;Calima de Aviacion lsd;00.07.13;;
;;;;Evelop Airline;30.11.13;;
;;;;Orbest ret;20.03.16;;
;;;;Iberojet lsd;13.05.21;;C
834;05.04.07;F-WWKZ;PH-AOK;KLM lsd;09.05.07;330-203;
;;2-PAOK;AP-BMK;Shaheen Air Int lsd;07.07.16;;
;;2-PAOK;JY-JVB;Jordan Aviation;20.02.20;;C
835;11.04.07;F-WWJG;OH-LQB;Finnair;25.05.07;340-313E;
;;F-WXAB;OO-ABA;Air Belgium;r16.02.18;;
;;;9H-AHUB;AirHub AL;16.02.22;;C
836;25.04.07;F-WWYK;B-6085;China Eastern AL;11.06.07;330-343E;C
837;01.08.07;F-WWCB;A6-EHF;Etihad AW;28.08.07;340-642;
;;;2-EALB;European Aviation;r31.05.18;;STD
838;28.03.07;F-WWYM;B-18316;China AL;16.05.07;330-302;C
839;16.04.07;F-WWYO;B-6081;Air China;15.05.07;330-243;C
840;18.05.07;F-WWYS;B-6078;China Southern AL;02.07.07;330-243;
;;OE-IBQ;EC-NCK;Wamos Air;22.06.19;;C
841;02.05.07;F-WWYT;EI-DUO;Aer Lingus;25.05.07;330-202;C
842;29.05.07;F-WWYV;VH-EBE;Jetstar AW lsd;21.06.07;330-202;
;;;;Qantas ret;16.10.15;;C
843;26.04.07;F-WWYX;N817NW;Northwest AL;06.06.07;330-323X;
;;;;Delta AL;29.10.08;;C
844;01.06.07;F-WWJI;OH-LQC;Finnair;21.06.07;340-313E;
;;F-WXAG;OO-ABB;Air Belgium;r16.02.18;;
;;;YR-LRB;Legend AL;due22;;STD
845;21.06.07;F-WWYZ;HL7754;Asiana AL;11.07.07;330-323X;C
846;03.04.08;F-WWCH;D-AIHT;Lufthansa;29.04.08;340-642;C
847;24.05.07;F-WWKM;EI-DUZ;Aer Lingus;26.06.07;330-302;C
848;06.05.08;F-WWCI;D-AIHU;Lufthansa;29.05.08;340-642;STD
849;23.05.07;F-WWKP;A7-ACM;Qatar AW;13.06.07;330-202;C
850;27.06.07;F-WWKQ;B-LAE;Cathay Pacific AW;27.07.07;330-342;C
851;26.06.07;F-WWKR;B-6095;China Eastern AL;16.07.07;330-343E;C
852;05.07.07;F-WWKT;A6-EYO;Etihad AW;20.09.07;330-243;
;;;D-AIYB;Condor;05.04.22;;C
853;13.07.07;F-WWYU;VH-EBF;Jetstar AW lsd;24.08.07;330-202;
;;;;Qantas AW ret;r20.08.15;;STD
854;02.08.07;F-WWYY;A6-EYP;Etihad AW;15.10.07;330-243;
;;;EI-MAA;MasAir Cargo;01.03.22;*F;C
855;10.08.07;F-WWYC;B-LAF;Cathay Pacific AW;31.08.07;330-343E;C
856;21.09.07;F-WWCJ;A6-AHG (due);Etihad AW;;340-642;W/O
857;04.07.07;F-WWYD;N818NW;Northwest AL;01.08.07;330-323X;
;;;;Delta AL;29.10.08;;C
858;10.07.07;F-WWYE;N819NW;Northwest AL;05.09.07;330-323X;
;;;;Delta AL;29.10.08;;C
859;01.08.07;F-WWYF;N820NW;Northwest AL;13.09.07;330-323X;
;;;;Delta AL;29.10.08;;C
860;11.07.07;F-WWYN;B-6090;Air China;04.09.07;330-243;C
861;04.09.07;F-WWYA;B-18317;China AL;01.10.07;330-302;C
862;;F-WWYG;B-6096;China Eastern AL;11.09.07;330-343E;
;;;;Shanghai AL;25.10.13;;C
863;20.09.07;F-WWYH;3B-TSL;Midroc Aviation;23.11.07;330-243;
;;;UP-A3001;Kazakhstan Gvmt;09.03.10;;C
864;;;;NOT BUILT;;330-200;
865;08.08.07;F-WWYJ;N821NW;Northwest AL;16.10.07;330-323X;
;;;;Delta AL;29.10.08;;C
866;;F-WWYL;B-6097;China Eastern AL;25.09.07;330-343E;
;;;;Shanghai AL;01.11.13;;
;;;;China Eastern AL tfd;05.12.20;;C
867;24.09.07;F-WWYP;B-6091;Air China;22.10.07;330-243;C
868;07.09.07;F-WWYQ;A6-EYQ;Etihad AW;28.09.07;330-243;
;;EI-MYY;XA-;MasAir Cargo;27.01.22;*F;C
869;24.10.07;F-WWYR;PT-MVM;TAM;30.11.07;330-223;
;;OE-ICX;TC-JIO;THY Turkish AL lsd;27.06.14;;C
870;31.10.07;F-WWCK;A6-EHH;Etihad AW;21.12.07;340-642;
;;2-EALD;;;;;STD
871;25.09.07;F-WWKU;EC-332;EADS CASA/Airbus;21.12.07;330-203;
;;;F-WWCB;Airbus test rr;23.08.13;;
;;F-WTBW;9H-LFS;Maleth-Aero lsd;17.02.21;;C
872;;;;NOT BUILT;;330-200;
873;05.10.07;F-WWKV;B-6092;Air China;31.10.07;330-243;C
874;09.04.08;F-WWKA;VT-VJK;Kingfisher AL slsd;12.06.08;330-223;
;;;D-ALAA;Lufthansa Technik;00.05.13;;
;;;TC-LNA;THY Turkish AL;18.06.15;;
;;;LZ-AWZ;GullivAir lsd;26.02.21;;C
875;18.10.07;F-WWKB;B-6116;Hainan AL lsd;13.11.07;330-243;C
876;29.10.07;F-WWKE;PT-MVN;TAM;12.12.07;330-223;
;;OE-IDC;TC-JIP;THY Turkish AL lsd;02.09.14;;C
877;23.10.07;F-WWKF;CS-TOL;TAP Air Portugal;26.11.07;330-202;
;;9H-AIX;LV-KAN;Aerolineas Argentinas;13.04.22;;C
878;;;;NOT BUILT;;330-200;
879;26.10.07;F-WWKG;B-6086;China Southern AL;13.12.07;330-343E;
;;VQ-BSO;TC-MCM;MNG Cargo;17.11.21;*F;C
880;;;;NOT BUILT;;330-200;
881;15.11.07;F-WWKI;B-6118;Hainan AL lsd;11.12.07;330-243;C
882;29.10.07;F-WWKJ;VT-JWH;Jet AW lsd;16.11.07;330-202;
;;;TC-JIL;THY Turkish AL lsd;07.03.14;;
;;2-AMGL;;;;;STD
883;06.11.07;F-WWKK;3B-NBM;Air Mauritius;07.12.07;330-202;
;;;7O-AFE;Yemenia;04.02.22;;C
884;09.11.07;F-WWKO;B-6093;Air China;03.12.07;330-243;C
885;20.11.07;F-WWKS;VT-JWJ;Jet AW lsd;05.12.07;330-202;
;;;;Etihad AW slsd;29.05.13;;
;;;A6-EYC;Etihad AW;17.09.13;;
;;;YU-ARA;Air Serbia lsd;11.05.16;;STD
;;;JY- ;Jordan Aviation;due22;;
886;06.02.08;F-WWTG;4K-AZ85;Azerbaijan AL lsd;24.12.12;340-542;C
887;26.11.07;F-WWKD;VH-EBG;Qantas;13.12.07;330-202;C
888;29.11.07;F-WWKL;VT-JWK;Jet AW lsd;17.12.07;330-202;
;;;A6-EYA;Etihad AW slsd;30.08.13;;
;;;VT-JWW;Jet AW ret;07.15;;STD
889;27.11.07;F-WWKZ;B-6087;China Southern AL;19.12.07;330-343E;
;;VQ-BYZ;TC-MCN;MNG AL;05.06.21;;C
890;29.11.07;F-WWYM;B-6113;Air China;11.01.08;330-243;C
891;23.05.08;F-WWYO;VT-VJL;Kingfisher AL lsd;26.06.08;330-223;
;;;EI-EWH;Skua Ltd;29.03.12;;
;;;5N-JIC;Arik Air lsd;08.07.13;;
;;EI-EWH;N819CA;National AL lsd ntu;;;STD
892;17.12.07;F-WWYT;VH-EBH;Qantas lsd;22.01.08;330-202;
;;MRT039;EC-339;MRTT;s28.08.17;*MRTT;
;;;A39-006;Royal Australian AF;01.09.17;;C
893;18.12.07;F-WWYK;A7-AEM;Qatar AW;28.01.08;330-302;
;;;EI-EIL;Aer Lingus;16.03.21;;C
894;09.04.08;F-WWTH;4K-AZ86;Azerbaijan AL lsd;22.12.12;340-542;C
895;19.12.07;F-WWYV;B-LAG;Cathay Pacific AW lsd;23.01.08;330-342;
;;;OO-SFC;Brussels AL lsd;r15.03.18;;C
896;09.01.08;F-WWYX;D-AIKK;Lufthansa;31.01.08;330-343E;C
897;05.03.08;F-WWTI;D-AIHV;Lufthansa;28.03.08;340-642;STD
898;17.01.08;F-WWKM;VH-EBI;Qantas lsd;08.02.08;330-202;
;;MRT040;EC-334;MTAD;;*MRTT;
;;;A39-007;Royal Australian AF;16.05.19;;C
899;14.01.08;F-WWKN;CS-TOM;TAP Air Portugal;05.02.08;330-202;
;;9H-AJA;LV-KAO;Aerolineas Argentinas;18.07.22;;C
900;28.01.08;F-WWKP;PH-AOL;KLM lsd;14.02.08;330-203;
;;2-PAOL;AP-BML;Shaheen Air Int lsd;30.03.16;;
;;2-RLBA;TC-AGF;AtlasGlobal AL;16.07.19;;
;;F-WTAU;AP-BNG;Serene Air lsd;02.06.21;;C
901;11.01.08;F-WWKQ;VT-JWL;Jet AW lsd;01.02.08;330-202;
;;;TC-JIM;THY Turkish AL;16.03.14;;
;;2-CJIM;;;;;STD
902;29.05.08;F-WWTJ;F-WJKN;Tunisian Gvmt;30.11.09;340-542;
;;;TS-KRT;Tunisian Gvmt;19.12.09;;
;;TC-TRK;TC-CAN;Turkish Gvmt;01.17;;C
903;28.01.08;F-WWKR;B-6117;Air China;20.02.08;330-243;C
904;30.01.08;F-WWKT;CS-TON;TAP Air Portugal;19.02.08;330-202;STD
905;29.01.08;F-WWYC;D-AIKL;Lufthansa;05.03.08;330-343E;C
906;12.02.08;F-WWYD;B-6088;Hainan AL lsd;11.03.08;330-243;C
907;07.02.08;F-WWYE;A7-AEN;Qatar AW;03.03.08;330-302;C
908;21.02.08;F-WWYF;B-6098;China Southern AL;17.03.08;330-343E;
;;;TC-OCS;Onur Air;24.11.19;;
;;;9H-SMA;SmartLynx AL Malta;11.10.21;;C
909;07.02.08;F-WWYG;B-6115;Air China;11.03.08;330-243;C
910;17.06.08;F-WWTK;F-WJKH;Arik Air;30.09.08;340-542;
;;;CS-TFW;Arik Air;11.12.08;;SCR
911;13.02.08;F-WWYA;D-ALPJ;Air Berlin;31.03.08;330-223;
;;EI-GFK;9M-MTX;Malaysian AL lsd;25.05.18;;C
912;18.07.08;F-WWTL;CS-TFX;Arik Air;29.04.09;340-542;
;;;;Hi Fly ret;08.06.15;;C
913;25.02.08;F-WWYJ;D-AIKM;Lufthansa;19.03.08;330-343E;C
914;11.03.08;F-WWYL;CS-TOO;TAP Air Portugal;02.04.08;330-202;C
915;26.03.08;F-WWYN;B-LAH;Cathay Pacific AW lsd;30.04.08;330-342;
;;;OO-SFB;Brussels AL lsd;r08.02.18;;C
916;28.02.08;F-WWYP;B-6099;China Eastern AL;03.04.08;330-243;C
917;15.05.08;F-WWTM;7T-VPP;Algerian Government;10.06.08;340-541;C
918;06.03.08;F-WWYQ;A7-AEO;Qatar AW;14.04.08;330-302;C
919;11.03.08;F-WWYS;B-6089;Hainan AL lsd;15.04.08;330-243;
;;;;Tianjin AL slsd;r03.05.16;;
;;;;Hainan AL ret;12.16;;C
920;20.03.08;F-WWYU;B-18353;China AL lsd;02.05.08;330-302;C
921;30.04.08;F-WWJK;OH-LQD;Finnair lsd;29.05.08;340-313E;
;;F-WXAI;OO-ABD;Air Belgium;r15.08.18;;
;;F-WTAJ;YR-LRC;Legend AL;r22.07.22;;C
922;17.04.08;F-WWYY;D-AIKN;Lufthansa;21.05.08;330-343E;C
923;29.04.08;F-WWYZ;VT-JWM;Jet AW lsd;29.05.08;330-202;
;;;;Etihad AW slsd;06.06.13;;
;;;A6-EYB;Etihad AW rr;07.08.13;;
;;;VT-JWV;Jet AW ret;21.05.14;;STD
924;29.08.08;F-WWCP;F-WJKG;Royal Jordanian AF;24.10.08;340-642CJ;
;;VP-CDD;HZ-AA;Alpha Star Aviation Svcs;15.06.15;;
;;;HZ-SKY;Sky Prime Aviation Svcs tfd;29.12.15;;C
925;18.04.08;F-WWKB;PH-AON;KLM lsd;11.04.13;330-203;
;;OE-LDV;;;;;STD
926;22.05.08;F-WWKD;F-ORMA;MEA - Middle East AL;16.06.08;330-243;
;;;OD-MED;MEA - Middle East AL;13.05.13;;C
927;26.05.08;F-WWKE;VT-VJN;Kingfisher AL lsd;29.08.08;330-223;
;;;EI-EWG;Nightjar Ltd;29.03.12;;
;;;5N-JID;Arik Air;29.10.13;;
;;EI-EWG;;Pembroke ret;28.09.17;;SCR
928;25.04.08;F-WWKJ;B-6100;China Eastern AL;25.07.08;330-343E;C
929;01.10.08;F-WWCB;A6-EHI;Etihad AW;29.10.08;340-642;
;;;2-EALC;European Aviation;r20.07.18;;
;;;EC-NFO;Plus Ultra L.A.;due05.20;;STD
930;04.06.08;F-WWKS;B-6130;Air China;23.06.08;330-243;C
931;15.05.08;F-WWKU;EC-KOM;Air Europa lsd;18.06.08;330-202;
;;;;Novair slsd;01.12.10;;
;;;;Air Europa ret;25.02.11;;
;;;;Novair slsd;01.12.12;;
;;;;Air Europa ret;30.03.13;;
;;;;Plus Ultra L.A.;09.06.22;;C
932;05.06.08;F-WWKV;VT-JWN;Jet AW lsd;27.06.08;330-202;
;;;TC-JIN;THY Turkish AL;06.05.14;;
;;2-CJIN;SX;Olympus AW;due05.22;;STD
933;07.11.08;F-WWCF;A6-EHJ;Etihad AW;15.12.08;340-642;
;;2-FIEX;EC-NFP;Plus Ultra L.A.;20.11.19;;
;;;G-ECLA;European Aviation;04.02.21;;
;;;C5-MIC;Macka Invest Company;29.05.22;;STD
934;29.05.08;F-WWKZ;CS-TOP;TAP Air Portugal;18.06.08;330-202;C
935;19.06.08;F-WWKF;B-6111;China Southern AL;10.07.08;330-343E;
;;OE-IEA;EC-NHM;Wamos Air;03.07.20;;C
936;19.06.08;F-WWKG;B-6506;China Eastern AL;30.07.08;330-343E;C
937;19.06.08;F-WWKI;B-6112;China Southern AL;17.07.08;330-343E;
;;OE-INJ;9H-SMC;SmartLynx AL Malta;28.06.21;;
;;;B-6112;Sichuan AL;due22;*F;C
938;02.07.08;F-WWJL;OH-LQE;Finnair;31.07.08;340-313E;
;;F-WXAH;OO-ABE;Air Belgium;28.06.18;;
;;F-WTBE;9H-HOP;Airhub AL;08.12.21;;C
939;09.07.08;F-WWKK;VT-VJO;Kingfisher AL lsd;22.08.08;330-223;
;;;D-ALAB;Lufthansa Technik;08.05.13;;
;;;TC-LNB;THY Turkish AL;05.09.15;;
;;;;TAME Ecuador lsd;02.06.17;;
;;;;THY Turkish AL ret;03.08.17;;
;;;LZ-AWY;GullivAir lsd;25.02.21;;C
940;20.05.08;F-WWKL;VH-EBJ;Qantas lsd;06.06.08;330-202;
;;;;Jetstar AW slsd;07.12.10;;
;;;;Qantas ret;s17.04.15;;C
941;07.07.08;F-WWKO;B-6131;Air China;25.07.08;330-243;C
942;11.07.08;F-WWYK;B-6507;China Eastern AL;08.08.08;330-343E;C
943;01.08.08;F-WWYM;EC-KUO;Air Comet lsd;28.08.08;330-223;
;;;EI-ELI;AALN;30.12.09;;
;;;VN-A376;Vietnam AL lsd;19.07.10;;
;;2-RLAX;;Bamboo AW lsd ntu;;;STD
944;08.07.08;F-WWYT;B-6132;Air China;25.08.08;330-243;C
945;01.07.08;F-WWYV;VH-EBK;Qantas lsd;05.08.08;330-202;
;;;;Jetstar AW;29.11.09;;
;;;;Qantas AW ret;r13.08.15;;C
946;30.07.08;F-WWYX;VT-VJP;Kingfisher AL lsd;27.08.08;330-223;
;;;D-ANJB;Lufthansa Technik;03.05.13;;
;;;VN-A383;Vietnam AL lsd;04.07.14;;
;;;EI-GCU;I-Fly lsd;08.12.17;;STD
947;14.08.08;F-WWKM;VT-JWP;Jet AW lsd;24.09.08;330-202;
;;2-ACUA;;;;;STD
948;02.09.08;F-WWKN;N948AC;Avianca lsd;30.09.08;330-243;
;;G-CINS;G-TCXB;Thomas Cook AL lsd;17.06.15;;
;;;;Sunclass AL lsd;r07.12.19;;
;;VP-CCO;;;;;STD
949;28.08.08;F-WWKP;PT-MVO;TAM;02.10.08;330-223;
;;OE-ICY;TC-JIR;THY Turkish AL lsd;25.07.14;;C
950;16.07.08;F-WWKQ;EC-KTG;Air Europa lsd;04.09.08;330-202;
;;;;Finnair slsd;12.11.08;;
;;;;Air Europa ret;06.04.09;;
;;;;Novair slsd;01.12.11;;
;;;;Air Europa ret;30.03.12;;STD
;;;G-KJAS;Hans Air lsd;due22;;
951;14.04.08;F-WWYR;EC-333;Royal Australian AF;22.05.08;330-203;
;;MRTT002;A39-002;Royal Australian AF;22.06.11;;C
952;26.09.08;F-WWKR;9M-XXA;AirAsia X;31.10.08;330-343E;
;;;;National Air Services lsd;27.10.14;;
;;;;AirAsia X ret;s14.02.16;;
;;VP-CJX;VN-A810;VietJet Air;31.03.22;;C
953;06.08.08;F-WWCM;HS-TNF;Thai AW Int;29.10.08;340-642;STD
954;02.09.08;F-WWKT;B-6500;China Southern AL;24.09.08;330-343E;
;;OE-INC;9H-SME;SmartLynx AL Malta;20.06.21;;C
955;17.09.08;F-WWJM;M-ABUS;Global Jet Luxembourg;08.10.08;340-313ECJ;
;;;M-IABU;Klaret Aviation;18.12.09;;
;;;;Global Jet Luxembourg;03.05.12;;
;;;;Margaux Aviation;17.02.21;;C
956;10.09.08;F-WWYA;VT-JWQ;Jet AW slsd;24.12.08;330-202;
;;2-ACUB;;;;;STD
957;09.09.08;F-WWYC;B-6505 ;Air China;15.10.08;330-243;C
958;01.10.08;F-WWYD;B-6502;China Southern AL;21.10.08;330-343E;
;;EI-GVZ;9H-VDC;Galistair Malta;16.05.22;*F;C
959;03.10.08;F-WWYE;B-LAI;Cathay Pacific AW lsd;27.10.08;330-342;
;;;OO-SFD;Brussels AL lsd;22.05.18;;C
960;14.01.09;F-WWCG;EC-LEU;Iberia;01.07.09;340-642;STD
961;01.10.08;F-WWYF;PT-MVP;TAM;29.10.08;330-223;
;;;OE-ICZ;AMES-CAMO;00.05.14;;
;;;TC-JIS;THY Turkish AL lsd;12.09.14;;C
962;20.10.08;F-WWYG;EC-KVS;Air Comet;07.11.08;330-223;
;;;EI-ELJ;AALN;30.12.09;;
;;;VN-A377;Vietnam AL lsd;31.08.10;;
;;;2-RLAY;UMB Bank ret;r22.10.18;;STD
963;30.10.08;F-WWYJ;VP-BLX;Aeroflot lsd;19.11.08;330-243;
;;OE-LFA;EC-NUI;Wamos Air;09.05.22;;C
964;02.10.08;F-WWYK;B-6501;China Southern AL;12.11.08;330-343E;
;;EI-MAE;;MasAir Cargo;23.10.22;*F;C
965;05.11.08;F-WWYL;F-OONE;Air Caraibes lsd;11.12.08;330-323E;
;;;EI-GPJ;I-Fly lsd;28.11.19;;C
966;29.10.08;F-WWYP;XA-MXP;Mexicana lsd;26.11.06;330-243;
;;;C-GTSR;Air Transat lsd;30.09.10;;
;;;;Garuda Indonesian AW slsd;27.08.14;;
;;;;Air Transat ret;07.11.14;;
;;;;Air Caraibes lsd;08.12.15;;
;;;;Air Transat ret;ar04.16?;;
;;;;Air Caraibes lsd;13.12.16;;C
967;17.10.08;F-WWYI;N967CG;Avianca slsd;25.11.08;330-243;
;;G-CIUJ;G-TCXC;Thomas Cook AL lsd;29.04.16;;
;;;;Sunclass AL lsd;12.12.19;;
;;VP-CCP;;;;;STD
968;23.10.08;F-WWYN;PT-MVQ;TAM;28.11.08;330-223;
;;OE-IET;D-ABXE;Air Berlin;18.12.16;;
;;EI-GFL;9M-MTY;Malaysian AL lsd;26.12.18;;C
969;24.10.08;F-WWYQ;EC-334;MTAD;08.12.08;330-203;
;;MRTT003;A39-003;Royal Australian AF;16.05.19;*203MRTT;C
970;05.11.08;F-WWYS;EC-KXB;Air Comet lsd;02.12.08;330-223;
;;EI-EJY;JY-AIE;Royal Jordanian AL lsd;21.05.10;;
;;EI-EJY;CS-TRY;SATA-Azores AL lsd;04.02.16;;
;;;9H-CFS;Maleth-Aero;14.02.22;;C
971;12.11.08;F-WWYU;XA-MXQ;Mexicana lsd;17.12.08;330-243;
;;;C-GTSZ;Air Transat lsd;30.09.10;;
;;;;Condor slsd;31.10.17;;
;;;;Air Transat ret;14.04.18;;C
972;03.12.08;F-WWCL;D-AIHW;Lufthansa;22.12.08;340-642;STD
973;01.12.08;F-WWKA;VP-BLY;Aeroflot lsd;18.12.08;330-243;
;;;YU-ARB;Air Serbia lsd;24.04.21;;C
974;03.12.08;F-WWKD;9M-XXB;AirAsia X;18.12.08;330-343E;
;;VP-CJW;VN-A811;VietJet Air;25.12.21;;C
975;21.11.08;F-WWKS;A6-EYR;Etihad AW lsd;13.01.09;330-243;
;;OE-ISR;D-AIYC;Condor lsd;09.02.22;;C
976;14.11.08;F-WWKU;VH-EBL;Qantas lsd;12.12.08;330-203;C
977;04.12.08;F-WWKV;PT-MVR;TAM;30.12.08;330-223;
;;OE-IDA;TC-JIT;THY Turkish AL lsd;00.09.14;;C
978;16.12.08;F-WWKZ;9V-STA;Singapore AL lsd;20.01.09;330-343E;
;;;HS-XTI;Thai AirAsia X;28.09.18;;C
979;10.12.08;F-WWYO;EC-KYC;Air Comet lsd;23.01.09;330-223;
;;EI-EJZ;JY-AIF;Royal Jordanian AL lsd;21.05.10;;
;;EI-EJZ;VP-BUA;Nordwind AL lsd;25.06.18;;
;;;RA-73328;Nordwind AL rr;29.04.22;;C
980;27.01.09;F-WWYR;EC-338;MTAD;09.11.09;330-202;
;;MRTT010;2401;Royal Saudi Air Force;25.06.13;;C
981;27.01.09;F-WWCN;D-AIHX;Lufthansa;25.02.09;340-642;STD
982;05.01.09;F-WWYY;B-6133;Hainan AL lsd;18.02.09;330-243;C
983;23.01.09;F-WWYZ;9V-STB;Singapore AL lsd;17.02.09;330-343E;
;;;OO-SFG;Brussels AL lsd;08.11.18;;C
984;13.01.09;F-WWKE;OD-MEA;MEA - Middle East AL;05.02.09;330-243;C
985;15.12.08;F-WWKF;EI-EAV;Aer Lingus;27.02.09;330-302;C
986;05.02.09;F-WWKG;9V-STC;Singapore AL lsd;24.02.09;330-343E;
;;;C-GHKC;Air Canada lsd;21.12.20;;C
987;27.02.09;F-WWCQ;D-AIHY;Lufthansa;24.03.09;340-642;C
988;02.02.09;F-WWKI;PK-GPJ;Garuda Indonesian AW lsd;24.04.09;330-243;
;;EI-FNK;B-8549;Beijing Capital AL;01.08.16;;C
989;14.01.09;F-WWKJ;D-AIKO;Lufthansa;18.02.09;330-343E;C
990;02.03.09;F-WWKK;HS-TEN;Thai AW Int;01.04.09;330-343E;C
991;28.01.09;F-WWKM;A6-EYS;Etihad AW lsd;04.03.09;330-243;
;;OE-ITZ;D-AIYD;Condor lsd;07.03.22;;C
992;17.03.09;F-WWKN;A9C-KJ;Gulf Air;18.05.09;330-243;
;;;EC-MAJ;Air Europa lsd;21.03.14;;
;;;;Wamos Air;30.09.20;;C
993;29.07.09;F-WWCK;EC-LCZ;Iberia;29.09.09;340-642;STD
994;17.02.09;F-WWKO;OH-LTM;Finnair lsd;26.03.09;330-302E;C
995;16.02.09;F-WWKQ;OD-MEC;MEA - Middle East AL;20.05.09;330-243;C
996;10.03.09;F-WWKT;EC-331;MTAD;07.07.10;330-202;
;;MRTT011;2402;Royal Saudi Air Force;16.02.13;;C
997;05.03.09;F-WWYM;9V-STD;Singapore AL;27.03.09;330-343E;
;;;CS-TOU;TAP Air Portugal;10.04.17;;
;;;C-GEFA;Air Canada;16.04.19;;C
998;19.02.08;F-WWYT;OD-MEB;MEA - Middle East AL;25.03.09;330-243;C
