c/n;f/f;testreg;regi;operator;d/d;type;St
83;09.02.95;F-WWKE;VR-HLB;Cathay Pacific;24.02.95;330-342 ;
;;;B-HLB ;Cathay Pacific rr ;15.07.97;;
;;;;Dragonair tfd;06.03.11;;
;;;;Cathay Dragon nn;22.11.16;;SCR
84;12.07.95;;F-GLZI;Air France;07.08.95;340-311 ;SCR
85;03.03.95;F-WWJP;VR-HMU;PAL/Cathay Pacific;04.04.95;340-211 ;
;;;F-OHPI;Philippine AL ret ;22.03.97;;
;;;LV-ZRA;Aerolineas Argentinas;12.08.99;;STD
86;21.12.94;F-GMDE;EI-JFK;Aer Lingus;11.07.95;330-301 ;
;;;VQ-BEQ;Vladivostok Air lsd;12.10.09;;
;;;AP-BKN;Shaheen Air Int'l lsd;31.01.13;;SCR
87;01.03.95;F-WWKF;D-AERH;LTU lsd;30.03.95;330-322 ;
;;;C-FRAP;Skyservice AL lsd;25.11.02;;
;;;CS-TQF;Air Luxor lsd;30.06.03;;
;;;;Hi Fly nn;00.10.05;;
;;;N225LF;ILFC ret;03.04.06;;
;;;VN-A368;Vietnam AL lsd;15.02.07;;
;;;TC-OCD;Onur Air lsd;16.07.11;;
;;;;Saudi Arabian AL slsd;23.09.11;;STD
88;19.01.95;F-WWJV;C-FTNQ;Air Canada lsd;15.06.95;340-313 ;
;;;EC-KOU;Iberia lsd;20.02.08;;SCR
89;08.03.95;F-WWJA;9K-ANA;Kuwait AW ;29.03.95;340-313 ;STD
90;23.03.95;F-WWJZ;9K-ANB;Kuwait AW ;07.04.95;340-313 ;STD
91;28.03.95;F-WWJA;CS-TOD;TAP Air Portugal;24.04.95;340-312 ;STD
92;;;;NOT BUILT;;340-300;
93;15.03.95;F-WWJD;C-FTNP;Air Canada lsd;23.06.95;340-313 ;
;;;9Y-TJN;BWIA Int'l lsd;15.06.02;;
;;;;Caribbean AL nn;01.01.07;;
;;;LV-BIT;Aerolineas Argentinas;11.06.07;;
;;;N349AT;BoU;25.07.14;;SCR
94;13.03.95;F-WWJF;3B-NAV;Air Mauritius lsd ;31.03.95;340-312 ;
;;;EI-EHZ;AWAI;19.11.09;;
;;;LV-CEK;Aerolineas Argentinas lsd;12.05.10;;
;;;N691SB;MSA V;r19.09.16;;SCR
95;07.04.95;F-WWKH;D-AERJ;LTU lsd;04.05.95;330-321 ;
;;;C-FBUS;Skyservice lsd;06.05.97;;
;;;;Airtours International slsd;13.11.00;;
;;;;Garuda Indonesian AL lsd;18.01.01;;
;;;;Airtours International ret;25.02.01;;
;;;;Skyservice ret;30.04.01;;
;;;;Airtours Int'l AW slsd;30.10.01;;
;;;;MyTravel AL nn;01.05.02;;
;;;;Skyservice ret;23.04.02;;
;;;;MyTravel AL slsd;14.09.02;;
;;;;Skyservice AL ret;00.04.03;;
;;;;MyTravel AL slsd;02.11.03;;
;;;9M-MKR;Malaysian AS lsd;17.05.04;;
;;;OO-SFV;Brussels AL lsd;29.06.10;;SCR
96;12.04.95;F-WWKP;9M-MKZ;Malaysian AS lsd;11.01.96;330-321 ;
;;;OO-SFX;Sabena lsd;14.04.99;;
;;;CS-TMT;Air Luxor lsd;04.12.02;;
;;;;Garuda Indonesian AL slsd;10.01.04;;
;;;;Hi Fly ret;10.04.06;;
;;;;Belgium AF lsd;25.10.09;;
;;;;Hi Fly ret;09.04.14;;
;;;;National Air Services slsd;04.05.14;;
;;;;Hi Fly ret;00.10.14;;
;;;;Saudi Arabian AL slsd;23.12.14;;
;;;;Hi Fly ret;by05.15;;
;;;EI-FSP;I-Fly lsd;07.07.16;;
;;;9H-AGU;Hi Fly ret;14.06.18;;
;;OE-IAW;;;;;STD
97;17.05.95;F-WWJT;A4O-LD;Gulf Air;30.06.95;340-312 ;
;;;;Philippine AL lsd ;19.07.96;;
;;;;Gulf Air ret;s7.97 ;;
;;;A9C-LD;Gulf Air rr;7;;SCR
98;05.04.95;F-WWKG;VR-HYA;Dragonair lsd;22.05.95;330-342 ;
;;;B-HYA ;Dragonair rr ;29.06.97;;
;;;TC-OCB;Onur Air lsd;23.06.10;;STD
99;23.05.95;F-WWKQ;VR-HLC;Cathay Pacific;31.05.95;330-342 ;
;;;B-HLC ;Cathay Pacific rr ;31.10.97;;
;;;;Dragonair tfd;04.04.11;;
;;;;Cathay Dragon nn;22.11.16;;SCR
100;05.05.95;F-WWKZ;9M-MKF;Malaysian AS;09.06.95;330-322 ;SCR
101;20.04.95;F-WWJE;9K-ANC;Kuwait AW ;31.05.95;340-313 ;
;;;;Saudi Arabian AL lsd;s7.03.99;;
;;;;Kuwait AW ret;99;;STD
102;09.06.95;F-WWKR;VR-HLD;Cathay Pacific;30.06.95;330-342 ;
;;;B-HLD ;Cathay Pacific rr ;14.11.97;;SCR
103;23.06.95;F-WWJG;A4O-LE;Gulf Air/Egyptair ;13.10.95;340-312 ;
;;;;Gulf Air ret;s2.07.97;;
;;;A9C-LE;Gulf Air rr;16.11.07;;SCR
104;24.05.95;F-WWJJ;9K-AND;Kuwait AW ;05.07.95;340-313 ;
;;;C5-AST;;s29.10.21;;STD
105;;;;NOT BUILT;;340-300;
106;18.06.95;F-WWKI;VR-HYB;Dragonair lsd;22.07.95;330-342 ;
;;;B-HYB ;Dragonair rr ;20.07.97;;
;;;;Cathay Dragon nn;22.11.16;;STD
107;22.06.95;F-WWKV;9M-MKG;Malaysian AS;09.08.95;330-322 ;SCR
108;;;;NOT BUILT;;340-300;
109;06.07.95;F-WWKD;VR-HLE;Cathay Pacific;18.08.95;330-342 ;
;;;B-HLE ;Cathay Pacific rr ;13.10.97;;
;;;;Dragonair;07.06.10;;
;;;;Cathay Dragon nn;22.11.16;;STD
110;18.07.95;F-WWKE;9M-MKH;Malaysian AS;29.08.95;330-322 ;SCR
111;05.09.95;F-WWKL;VR-HYC;Dragonair lsd;28.09.95;330-342 ;
;;;B-HYC ;Dragonair rr ;s14.07.97;;
;;;C-GKTS;Air Transat lsd;r21.10.99;;
;;N111BA;;;;;STD
112;29.08.95;F-WWKM;HS-TEG;Thai AW Int ;12.10.95;330-321 ;STD
113;03.10.95;F-WWKS;VR-HLF;Cathay Pacific;24.11.95;330-342 ;
;;;B-HLF ;Cathay Pacific rr ;09.10.97;;STD
114;17.01.96;F-WWJI;G-VSUN;Virgin Atlantic lsd;30.04.96;340-313 ;
;;;;Virgin Nigeria tfd;11.04.06;;
;;;;Virgin Atlantic AW ret;06.09.07;;SCR
115;27.02.96;F-WWJN;TC-JDM;THY Turkish AL;19.04.96;340-311 ;
;;;;Global Aviation;12.03.19;;STD
116;05.10.95;F-WWKT;9M-MKI;Malaysian AS;15.11.95;330-322 ;
;;G-CIOH;D-AAEA;DHL Air-EAT Leipzig;18.07.16;*F;
;;;EI-HEA;ASL AL (Ireland);05.12.17;;
;;;B-LDO;Air Hong Kong tfd;07.01.20;;
;;;EI-HEA;ASL AL (Ireland);15.10.20;;C
117;25.08.95;F-WWJM;9V-SJF;Singapore AL;26.10.96;340-313X;
;;N73713, D-ASIA;7T-VKL;Khalifa AW lsd;18.06.02;;
;;;;Air Algerie slsd;00.07.02;;
;;;A6-EYC;Etihad AW lsd;27.03.04;;
;;;CS-TQM;Hi Fly;18.09.09;;
;;;;Strategic AL lsd;06.05.10;;
;;;;Hi Fly ret;18.05.10;;
;;;;Gabon AL slsd;01.07.10;;
;;;;Adagold Aviation lsd;20.11.10;;
;;;;Hi Fly ret;01.02.11;;
;;;;Adagold Aviation lsd;28.05.11;;
;;;;Hi Fly ret;30.11.13;;
;;;;Air Algerie lsd;20.06.14;;
;;;;Conviasa slsd;03.01.15;;
;;;;Hi Fly ret;12.02.15;;
;;;9H-TQM;Hi Fly Malta tfd;r10.09.15;;C
118;08.11.95;F-WWKF;VR-HLG;Cathay Pacific;05.12.95;330-342 ;
;;;B-HLG ;Cathay Pacific rr ;25.08.97;;
;;;;Dragonair;21.09.13;;
;;;;Cathay Dragon nn;22.11.16;;STD
119;21.11.95;D-WWKJ;9M-MKJ;Malaysian AS;13.12.95;330-322 ;SCR
120;13.02.96;F-WWKN;D-AERK;LTU Int'l AW;04.03.96;330-322 ;
;;;;Air Berlin tfd;03.02.08;;
;;;EI-FBU;AIAL;07.05.13;;
;;;;I-Fly lsd;09.05.13;;STD
121;18.12.95;F-WWKK;VR-HLH;Cathay Pacific;19.01.96;330-342 ;
;;;B-HLH ;Cathay Pacific rr ;14.10.97;;STD
122;17.11.95;F-WWKG;HS-TEH;Thai AW Int ;20.12.95;330-321 ;STD
123;25.03.96;F-WWJK;9V-SJA;Singapore AL;17.04.96;340-313X;
;;;B-HXM;Cathay Pacific;04.06.01;;
;;;LV-CSD;Aerolineas Argentinas lsd;19.12.11;;SCR
124;;;;NOT BUILT;;340-311 ;
125;31.01.96;F-WWJB;EC-154;Iberia;29.02.96;340-313 ;
;;;EC-GGS;Iberia rr ;s23.06.96;;SCR
126;29.03.96;F-WWJL;9V-SJB;Singapore AL;24.04.96;340-313X;
;;;B-HXN;Cathay Pacific;06.07.01;;
;;;LV-CSE;Aerolineas Argentinas lsd;08.01.12;;SCR
127;26.01.96;F-WWKO;D-AERQ;LTU Int'l AW;27.02.96;330-322 ;
;;;;Air Berlin tfd;09.02.08;;
;;;CS-TRI;Hi Fly;15.02.13;;
;;;;XL AW slsd;26.06.13;;
;;;;AtlasJet Int'l slsd;09.09.13;;
;;;;Hi Fly ret;31.10.13;;
;;;;National Air Services slsd;06.04.14;;
;;;;Hi Fly ret;21.10.14;;
;;;;XL AW France slsd;s09.05.15;;
;;;;Hi Fly ret;s28.09.15;;
;;;;XL AW France slsd;s03.06.16;;
;;D-AAEB;EI-HEB;ASL AL (Ireland);r01.03.18;*322F;C
128;30.05.96;F-WWJZ;9V-SJC;Singapore AL;21.06.96;340-313X;
;;;B-HXO;Cathay Pacific;19.12.01;;
;;;LV-CSF;Aerolineas Argentinas lsd;17.02.12;;
;;;N128XX;Unical Aviation;r09.05.18;;SCR
129;18.03.96;F-WWJQ;B-2380;China Eastern AL;15.05.96;340-313X;SCR
130;;;;NOT BUILT;;340-313 ;
131;10.05.96;F-WWJO;B-2381;China Eastern AL;29.05.96;340-313X;SCR
132;15.03.96;F-WWKQ;VR-HYD;Cathay Pacific;23.04.96;330-342 ;
;;;;Dragonair slsd;30.07.96;;
;;;B-HYD ;Dragonair rr;26.07.97;;
;;;C-GTSO;Air Transat lsd;04.03.11;;
;;N1132D;;;;;STD
133;07.11.96;F-WWJP;A4O-LF;Gulf Air/Egyptair ;04.12.96;340-312 ;
;;;;United Arab Emirirates Gvmt lsd;15.05.97;;
;;;;Gulf Air ret;s2.06.98;;
;;;A9C-LF;Gulf Air rr;25.09.07;;
;;;M-YRGQ;Squadron Leasing VIII;27.05.11;;
;;;CS-TQL;Hi Fly lsd;15.09.11;;SCR
134;16.04.96;F-WWJR;EC-155;Iberia;10.05.96;340-313 ;
;;;EC-GHX;Iberia rr ;15.11.96;;SCR
135;03.04.96;F-WWJS;D-AIGL;Lufthansa ;10.05.96;340-313X;C
136;15.05.96;D-WWJV;VR-HXA;Cathay Pacific;27.06.96;340-313X;
;;;B-HXA ;Cathay Pacific rr ;26.09.97;;SCR
137;03.06.96;D-WWJX;VR-HXB;Cathay Pacific;20.06.96;340-313X;
;;;B-HXB ;Cathay Pacific rr ;13.09.97;;SCR
138;21.11.96;F-WWKH;PK-GPA;Garuda;16.12.96;330-341 ;C
139;10.06.96;F-WWJA;9V-SJD;Singapore AL;27.06.96;340-313X;
;;N73748;7T-VKM;Khalifa AW lsd;23.10.01;;
;;D-ASIM;A6-ERS;Emirates AL lsd;25.03.04;;
;;;N139WL;WFBN;15.05.13;;SCR
140;06.12.96;F-WWKU;PK-GPC;Garuda Indonesian AW;23.12.96;330-341 ;C
141;05.07.96;F-WWJC;B-2382;China Eastern AL;25.07.96;340-313X;SCR
142;20.06.96;F-WWJE;VR-HXC;Cathay Pacific;27.08.96;340-313X;
;;;B-HXC ;Cathay Pacific rr ;21.11.97;;SCR
143;22.08.96;F-WWKY;9M-MKY;Malaysian AS lsd;08.10.96;330-322 ;
;;;D-AERD;LTU lsd;14.10.98;;
;;;C-FRAE;Roots Air Canada lsd;28.04.01;;
;;;;Khalifa AW lsd;02.07.01;;
;;;;Ghana AW lsd;13.04.03;;
;;;;Skyservice AL ret;26.11.03;;
;;;9M-MKS;Malaysian AS lsd;19.03.04;;
;;;TC-OCC;Onur Air lsd;22.07.10;;
;;;;Saudi Arabian AL slsd;30.07.10;;STD
144;09.01.97;F-WWKG;PK-GPD;Garuda Indonesian AW;24.01.97;330-341 ;C
145;31.07.96;F-WWJF;EC-156;Iberia;06.09.96;340-313 ;
;;;EC-GJT;Iberia rr ;15.11.96;;SCR
146;10.05.96;F-WWJD;EC-157;Iberia;18.10.96;340-313 ;
;;;EC-GLE;Iberia rr ;04.01.97;;
;;2-CGLE;N746CS;Aero Capital Solutions;r22.03.17;;SCR
147;12.07.96;F-WWJG;VR-HXD;Cathay Pacific;19.09.96;340-313X;
;;;B-HXD ;Cathay Pacific rr ;09.12.97;;SCR
