c/n,f/f,testreg,regi,operator,d/d,type,St
262.0,17.09.18,F-WWSH,JA381A,All Nippon AW,14.03.19,380-841,C
263.0,18.12.18,F-WWAF,JA382A,All Nippon AW,17.05.19,380-841,C
264.0,02.12.19,F-WWSZ,A6-EVM,Emirates AL,11.12.20,380-842,C
265.0,,,,,,,
266.0,10.10.19,F-WWAL,JA383A,All Nippon AW,30.10.20,380-841,C
267.0,19.02.20,F-WWAU,A6-EVN,Emirates AL,22.12.20,380-842,C
268.0,01.10.20,F-WWAV,A6-EVO,Emirates AL,18.06.21,380-842,C
269.0,12.08.20,F-WWSS,A6-EVP,Emirates AL,12.05.21,380-842,C
270.0,26.11.20,F-WWAJ,A6-EVQ,Emirates AL,07.10.21,380-842,C
271.0,11.02.21,F-WWAM,A6-EVR,Emirates AL,10.12.21,380-842,C
272.0,17.03.21,F-WWSH,A6-EVS,Emirates AL,16.12.21,380-842,C
274.0,,,,Emirates AL,,,
